Entity,Code,Year,Share of adults who are obese (%)
Belgium,BEL,2016,22.1
Canada,CAN,2016,29.4
Germany,DEU,2016,22.3
Ireland,IRL,2016,25.3
Italy,ITA,2016,19.9
Portugal,PRT,2016,20.8
Russia,RUS,2016,23.1
Spain,ESP,2016,23.8
Switzerland,CHE,2016,19.5
United Kingdom,GBR,2016,27.8
United States,USA,2016,36.2
