State,date,cases,deaths,population,p_cases,p_deaths,diff,p_diff,d_diff,p.d_diff
SD,2021-03-01T00:00:00Z,112471,1889,884659,12713.486213331918,213.52860254629184,44,4.97366782003337,1,0.1130379050006809
SD,2021-03-02T00:00:00Z,112652,1889,884659,12733.94607413704,213.52860254629184,181,20.459860805121934,0,0
SD,2021-03-03T00:00:00Z,112833,1893,884659,12754.405934942164,213.9807541662946,181,20.459860805123753,4,0.452151620002752
SD,2021-03-04T00:00:00Z,113065,1896,884659,12780.630728902323,214.3198678812966,232,26.224793960158422,3,0.33911371500201426
SD,2021-03-05T00:00:00Z,113231,1896,884659,12799.395021132437,214.3198678812966,166,18.764292230114734,0,0
SD,2021-03-06T00:00:00Z,113378,1896,884659,12816.011593167537,214.3198678812966,147,16.616572035100035,0,0
SD,2021-03-07T00:00:00Z,113588,1900,884659,12839.74955321768,214.77201950129938,210,23.737960050142647,4,0.4521516200027804
SD,2021-03-08T00:00:00Z,113601,1901,884659,12841.219045982689,214.88505740630006,13,1.4694927650089085,1,0.1130379050006809
SD,2021-03-09T00:00:00Z,113754,1901,884659,12858.513845447795,214.88505740630006,153,17.294799465105825,0,0
SD,2021-03-10T00:00:00Z,113964,1904,884659,12882.251805497937,215.22417112130213,210,23.737960050142647,3,0.3391137150020711
SD,2021-03-11T00:00:00Z,114166,1905,884659,12905.085462308074,215.33720902630276,202,22.833656810136745,1,0.11303790500062405
SD,2021-03-12T00:00:00Z,114352,1908,884659,12926.110512638203,215.67632274130483,186,21.02505033012858,3,0.3391137150020711
SD,2021-03-13T00:00:00Z,114352,1908,884659,12926.110512638203,215.67632274130483,0,0,0,0
SD,2021-03-14T00:00:00Z,114352,1908,884659,12926.110512638203,215.67632274130483,0,0,0,0
SD,2021-03-15T00:00:00Z,114652,1912,884659,12960.021884138408,216.12847436130758,300,33.91137150020586,4,0.452151620002752
SD,2021-03-16T00:00:00Z,114794,1912,884659,12976.073266648506,216.12847436130758,142,16.051382510097028,0,0
SD,2021-03-17T00:00:00Z,114971,1915,884659,12996.080975833627,216.46758807630962,177,20.007709185121712,3,0.3391137150020427
SD,2021-03-18T00:00:00Z,115207,1919,884659,13022.757921413788,216.91973969631238,236,26.676945580160464,4,0.452151620002752
SD,2021-03-19T00:00:00Z,115522,1919,884659,13058.364861489003,216.91973969631238,315,35.60694007521488,0,0
SD,2021-03-20T00:00:00Z,115522,1919,884659,13058.364861489003,216.91973969631238,0,0,0,0
SD,2021-03-21T00:00:00Z,115522,1919,884659,13058.364861489003,216.91973969631238,0,0,0,0
SD,2021-03-22T00:00:00Z,115975,1923,884659,13109.571032454312,217.37189131631507,453,51.206170965309866,4,0.45215162000269515
SD,2021-03-23T00:00:00Z,116103,1923,884659,13124.0398842944,217.37189131631507,128,14.468851840087154,0,0
SD,2021-03-24T00:00:00Z,116379,1924,884659,13155.238346074588,217.48492922131578,276,31.198461780188154,1,0.11303790500070932
SD,2021-03-25T00:00:00Z,116641,1927,884659,13184.854277184768,217.82404293631785,262,29.6159311101801,3,0.3391137150020711
SD,2021-03-26T00:00:00Z,116851,1928,884659,13208.592237234912,217.93708084131853,210,23.737960050144466,1,0.1130379050006809
SD,2021-03-27T00:00:00Z,117368,1933,884659,13267.032834120266,218.50227036632194,517,58.44059688535344,5,0.5651895250034045
SD,2021-03-28T00:00:00Z,117336,1933,884659,13263.415621160244,218.50227036632194,-32,-3.6172129600217886,0,0
SD,2021-03-29T00:00:00Z,117352,1933,884659,13265.224227640254,218.50227036632194,16,1.8086064800099848,0,0
SD,2021-03-30T00:00:00Z,117495,1935,884659,13281.388648055354,218.7283461763233,143,16.164420415099812,2,0.2260758100013618
SD,2021-03-31T00:00:00Z,117761,1935,884659,13311.456730785534,218.7283461763233,266,30.068082730180322,0,0
SD,2021-04-01T00:00:00Z,117991,1938,884659,13337.455448935692,219.06745989132537,230,25.99871815015831,3,0.3391137150020711
SD,2021-04-02T00:00:00Z,118189,1947,884659,13359.836954125829,220.08480103633153,198,22.381505190136522,9,1.0173411450061565
SD,2021-04-03T00:00:00Z,118371,1947,884659,13380.40985283595,220.08480103633153,182,20.57289871012108,0,0
SD,2021-04-04T00:00:00Z,118371,1947,884659,13380.40985283595,220.08480103633153,0,0,0,0
SD,2021-04-05T00:00:00Z,118525,1947,884659,13397.817690206057,220.08480103633153,154,17.40783737010679,0,0
SD,2021-04-06T00:00:00Z,118691,1947,884659,13416.581982436172,220.08480103633153,166,18.764292230114734,0,0
SD,2021-04-07T00:00:00Z,118985,1947,884659,13449.81512650637,220.08480103633153,294,33.23314407019825,0,0
SD,2021-04-08T00:00:00Z,119207,1948,884659,13474.909541416524,220.1978389413322,222,25.094414910154228,1,0.1130379050006809
SD,2021-04-09T00:00:00Z,119467,1946,884659,13504.299396716702,219.97176313133085,260,29.38985530017817,-2,-0.2260758100013618
SD,2021-04-10T00:00:00Z,119705,1946,884659,13531.202418106863,219.97176313133085,238,26.903021390160575,0,0
SD,2021-04-11T00:00:00Z,119705,1946,884659,13531.202418106863,219.97176313133085,0,0,0,0
SD,2021-04-12T00:00:00Z,119892,1947,884659,13552.340506341992,220.08480103633153,187,21.138088235129544,1,0.1130379050006809
SD,2021-04-13T00:00:00Z,120154,1947,884659,13581.956437452169,220.08480103633153,262,29.61593111017646,0,0
SD,2021-04-14T00:00:00Z,120379,1948,884659,13607.389966077324,220.1978389413322,225,25.433528625155304,1,0.1130379050006809
SD,2021-04-15T00:00:00Z,120613,1949,884659,13633.840835847486,220.31087684633286,234,26.45086977016217,1,0.11303790500065247
SD,2021-04-16T00:00:00Z,120854,1952,884659,13661.082970952648,220.64999056133493,241,27.24213510516165,3,0.3391137150020711
SD,2021-04-17T00:00:00Z,121056,1953,884659,13683.916627762788,220.7630284663356,202,22.833656810140383,1,0.1130379050006809
SD,2021-04-18T00:00:00Z,121056,1953,884659,13683.916627762788,220.7630284663356,0,0,0,0
SD,2021-04-19T00:00:00Z,121189,1953,884659,13698.95066912788,220.7630284663356,133,15.03404136509198,0,0
SD,2021-04-20T00:00:00Z,121360,1953,884659,13718.280150882994,220.7630284663356,171,19.329481755114102,0,0
SD,2021-04-21T00:00:00Z,121517,1954,884659,13736.027101968104,220.8760663713363,157,17.746951085109686,1,0.1130379050006809
SD,2021-04-22T00:00:00Z,121651,1953,884659,13751.174181238193,220.7630284663356,134,15.147079270089307,-1,-0.1130379050006809
SD,2021-04-23T00:00:00Z,121651,1953,884659,13751.174181238193,220.7630284663356,0,0,0,0
SD,2021-04-24T00:00:00Z,121651,1953,884659,13751.174181238193,220.7630284663356,0,0,0,0
SD,2021-04-25T00:00:00Z,121986,1958,884659,13789.041879413424,221.32821799133902,335,37.867698175230544,5,0.5651895250034045
SD,2021-04-26T00:00:00Z,122080,1963,884659,13799.667442483487,221.89340751634245,94,10.625563070063436,5,0.5651895250034329
SD,2021-04-27T00:00:00Z,122228,1964,884659,13816.39705242359,222.00644542134316,148,16.72960994010282,1,0.11303790500070932
SD,2021-04-28T00:00:00Z,122398,1962,884659,13835.613496273705,221.78036961134177,170,19.216443850114956,-2,-0.2260758100013902
SD,2021-04-29T00:00:00Z,122532,1962,884659,13850.760575543796,221.78036961134177,134,15.147079270091126,0,0
SD,2021-04-30T00:00:00Z,122661,1967,884659,13865.342465288884,222.34555913634517,129,14.58188974508812,5,0.5651895250034045
SD,2021-05-01T00:00:00Z,122661,1967,884659,13865.342465288884,222.34555913634517,0,0,0,0
SD,2021-05-02T00:00:00Z,122661,1967,884659,13865.342465288884,222.34555913634517,0,0,0,0
SD,2021-05-03T00:00:00Z,122745,1970,884659,13874.837649308944,222.68467285134724,84,9.495184020059241,3,0.3391137150020711
SD,2021-05-04T00:00:00Z,122974,1973,884659,13900.7233295541,223.02378656634932,229,25.885680245155527,3,0.3391137150020711
SD,2021-05-05T00:00:00Z,123073,1976,884659,13911.914082149167,223.36290028135133,99,11.190752595068261,3,0.33911371500201426
SD,2021-05-06T00:00:00Z,123157,1977,884659,13921.409266169225,223.475938186352,84,9.495184020057422,1,0.1130379050006809
SD,2021-05-07T00:00:00Z,123233,1979,884659,13930.000146949276,223.7020139963534,76,8.59088078005152,2,0.2260758100013902
SD,2021-05-08T00:00:00Z,123233,1979,884659,13930.000146949276,223.7020139963534,0,0,0,0
SD,2021-05-09T00:00:00Z,123233,1979,884659,13930.000146949276,223.7020139963534,0,0,0,0
SD,2021-05-10T00:00:00Z,123310,1981,884659,13938.70406563433,223.92808980635476,77,8.703918685054305,2,0.2260758100013618
SD,2021-05-11T00:00:00Z,123435,1981,884659,13952.833803759415,223.92808980635476,125,14.129738125084259,0,0
SD,2021-05-12T00:00:00Z,123518,1988,884659,13962.215949874471,224.71935514135956,83,9.382146115056457,7,0.7912653350047947
