County,date,deaths,cases
Nassau,2020-04-01T00:00:00Z,76,9554
New York,2020-04-01T00:00:00Z,1374,47439
Orange,2020-04-01T00:00:00Z,19,1756
Rockland,2020-04-01T00:00:00Z,18,3321
Suffolk,2020-04-01T00:00:00Z,53,7605
Ulster,2020-04-01T00:00:00Z,3,222
Westchester,2020-04-01T00:00:00Z,25,10683
New York State,2020-04-02T00:00:00Z,2738,92506
Albany,2020-04-02T00:00:00Z,2,253
Broome,2020-04-02T00:00:00Z,4,46
Dutchess,2020-04-02T00:00:00Z,5,667
Erie,2020-04-02T00:00:00Z,12,617
Herkimer,2020-04-02T00:00:00Z,2,14
Madison,2020-04-02T00:00:00Z,2,68
Monroe,2020-04-02T00:00:00Z,9,420
Nassau,2020-04-02T00:00:00Z,76,10587
New York,2020-04-02T00:00:00Z,1762,51809
Onondaga,2020-04-02T00:00:00Z,2,301
Orange,2020-04-02T00:00:00Z,19,1993
Rockland,2020-04-02T00:00:00Z,18,3751
Suffolk,2020-04-02T00:00:00Z,69,8746
Sullivan,2020-04-02T00:00:00Z,4,143
Ulster,2020-04-02T00:00:00Z,3,240
Westchester,2020-04-02T00:00:00Z,64,11567
New York State,2020-04-03T00:00:00Z,3262,102987
Albany,2020-04-03T00:00:00Z,2,267
Broome,2020-04-03T00:00:00Z,4,56
Columbia,2020-04-03T00:00:00Z,2,51
Dutchess,2020-04-03T00:00:00Z,5,809
Erie,2020-04-03T00:00:00Z,19,734
Herkimer,2020-04-03T00:00:00Z,2,14
Madison,2020-04-03T00:00:00Z,2,77
Monroe,2020-04-03T00:00:00Z,10,464
Nassau,2020-04-03T00:00:00Z,95,12024
New York,2020-04-03T00:00:00Z,2243,57159
Onondaga,2020-04-03T00:00:00Z,3,322
Orange,2020-04-03T00:00:00Z,30,2397
Putnam,2020-04-03T00:00:00Z,7,252
Rockland,2020-04-03T00:00:00Z,42,4289
Schenectady,2020-04-03T00:00:00Z,5,110
Suffolk,2020-04-03T00:00:00Z,84,10154
Sullivan,2020-04-03T00:00:00Z,5,168
Ulster,2020-04-03T00:00:00Z,3,263
Westchester,2020-04-03T00:00:00Z,67,12351
New York State,2020-04-04T00:00:00Z,3544,113833
Albany,2020-04-04T00:00:00Z,6,293
Broome,2020-04-04T00:00:00Z,4,65
Columbia,2020-04-04T00:00:00Z,2,57
Dutchess,2020-04-04T00:00:00Z,5,938
Erie,2020-04-04T00:00:00Z,22,808
Herkimer,2020-04-04T00:00:00Z,3,18
Madison,2020-04-04T00:00:00Z,2,78
Monroe,2020-04-04T00:00:00Z,14,512
Nassau,2020-04-04T00:00:00Z,95,13346
New York,2020-04-04T00:00:00Z,2630,63306
