county,deaths,date
Cayuga,2,2020-04-27
Chautauqua,1,2020-04-27
Chemung,1,2020-04-27
Chenango,0,2020-04-27
Clinton,4,2020-04-27
Columbia,14,2020-04-27
Cortland,1,2020-04-27
Delaware,2,2020-04-27
Dutchess,62,2020-04-27
Erie,192,2020-04-27
Essex,0,2020-04-27
Franklin,0,2020-04-27
Fulton,3,2020-04-27
Genesee,3,2020-04-27
Greene,2,2020-04-27
Hamilton,0,2020-04-27
Herkimer,3,2020-04-27
Jefferson,0,2020-04-27
Kings,3814,2020-04-27
Lewis,3,2020-04-27
Livingston,1,2020-04-27
Madison,5,2020-04-27
Manhattan,1476,2020-04-27
Monroe,76,2020-04-27
Montgomery,4,2020-04-27
Nassau,1587,2020-04-27
New York,11533,2020-04-27
Niagara,21,2020-04-27
Oneida,11,2020-04-27
Onondaga,23,2020-04-27
Ontario,4,2020-04-27
Orange,207,2020-04-27
Orleans,6,2020-04-27
Oswego,2,2020-04-27
Otsego,3,2020-04-27
Putnam,43,2020-04-27
Queens,3756,2020-04-27
Rensselaer,7,2020-04-27
Richmond,534,2020-04-27
Rockland,377,2020-04-27
St. Lawrence,1,2020-04-27
Saratoga,11,2020-04-27
Schenectady,19,2020-04-27
Schoharie,1,2020-04-27
Schuyler,0,2020-04-27
Seneca,2,2020-04-27
Steuben,17,2020-04-27
Suffolk,1070,2020-04-27
Sullivan,13,2020-04-27
Tioga,3,2020-04-27
Tompkins,0,2020-04-27
Ulster,19,2020-04-27
Warren,7,2020-04-27
Washington,3,2020-04-27
Wayne,1,2020-04-27
Westchester,946,2020-04-27
Wyoming,5,2020-04-27
Yates,1,2020-04-27
New York State,17303,2020-04-28
Albany,26,2020-04-28
Allegany,2,2020-04-28
Bronx,2540,2020-04-28
Broome,14,2020-04-28
Cattaraugus,2,2020-04-28
Cayuga,2,2020-04-28
Chautauqua,1,2020-04-28
Chemung,1,2020-04-28
Chenango,0,2020-04-28
Clinton,4,2020-04-28
Columbia,14,2020-04-28
Cortland,1,2020-04-28
Delaware,2,2020-04-28
Dutchess,64,2020-04-28
Erie,195,2020-04-28
Essex,0,2020-04-28
Franklin,0,2020-04-28
Fulton,3,2020-04-28
Genesee,3,2020-04-28
Greene,2,2020-04-28
Hamilton,0,2020-04-28
Herkimer,3,2020-04-28
Jefferson,0,2020-04-28
Kings,3882,2020-04-28
Lewis,4,2020-04-28
Livingston,1,2020-04-28
Madison,5,2020-04-28
Manhattan,1501,2020-04-28
Monroe,79,2020-04-28
Montgomery,4,2020-04-28
Nassau,1620,2020-04-28
New York,11746,2020-04-28
Niagara,21,2020-04-28
Oneida,11,2020-04-28
Onondaga,23,2020-04-28
Ontario,4,2020-04-28
Orange,219,2020-04-28
Orleans,7,2020-04-28
Oswego,2,2020-04-28
Otsego,3,2020-04-28
Putnam,43,2020-04-28
Queens,3823,2020-04-28
Rensselaer,8,2020-04-28
Richmond,541,2020-04-28
Rockland,384,2020-04-28
St. Lawrence,2,2020-04-28
Saratoga,11,2020-04-28
Schenectady,19,2020-04-28
Schoharie,1,2020-04-28
Schuyler,0,2020-04-28
Seneca,2,2020-04-28
Steuben,17,2020-04-28
Suffolk,1102,2020-04-28
Sullivan,14,2020-04-28
Tioga,3,2020-04-28
Tompkins,0,2020-04-28
Ulster,20,2020-04-28
Warren,7,2020-04-28
Washington,3,2020-04-28
Wayne,1,2020-04-28
Westchester,962,2020-04-28
Wyoming,5,2020-04-28
Yates,1,2020-04-28
New York State,17638,2020-04-28
Albany,26,2020-04-28
Allegany,2,2020-04-28
Bronx,2580,2020-04-28
Broome,15,2020-04-28
Cattaraugus,2,2020-04-28
Cayuga,2,2020-04-28
Chautauqua,1,2020-04-28
Chemung,1,2020-04-28
Chenango,0,2020-04-28
Clinton,4,2020-04-28
Columbia,14,2020-04-28
Cortland,1,2020-04-28
Delaware,2,2020-04-28
Dutchess,65,2020-04-28
Erie,203,2020-04-28
Essex,0,2020-04-28
Franklin,0,2020-04-28
Fulton,3,2020-04-28
Genesee,3,2020-04-28
Greene,2,2020-04-28
Hamilton,0,2020-04-28
Herkimer,3,2020-04-28
Jefferson,0,2020-04-28
Kings,3950,2020-04-28
Lewis,4,2020-04-28
Livingston,1,2020-04-28
Madison,5,2020-04-28
Manhattan,1532,2020-04-28
Monroe,81,2020-04-28
Montgomery,4,2020-04-28
Nassau,1647,2020-04-28
New York,11960,2020-04-28
Niagara,21,2020-04-28
Oneida,12,2020-04-28
Onondaga,24,2020-04-28
Ontario,4,2020-04-28
Orange,228,2020-04-28
Orleans,8,2020-04-28
Oswego,2,2020-04-28
Otsego,3,2020-04-28
Putnam,45,2020-04-28
Queens,3898,2020-04-28
Rensselaer,8,2020-04-28
Richmond,549,2020-04-28
Rockland,387,2020-04-28
St. Lawrence,2,2020-04-28
Saratoga,11,2020-04-28
Schenectady,22,2020-04-28
Schoharie,1,2020-04-28
Schuyler,0,2020-04-28
Seneca,2,2020-04-28
Steuben,18,2020-04-28
Suffolk,1131,2020-04-28
Sullivan,15,2020-04-28
Tioga,3,2020-04-28
Tompkins,0,2020-04-28
Ulster,21,2020-04-28
Warren,7,2020-04-28
Washington,3,2020-04-28
Wayne,1,2020-04-28
Westchester,983,2020-04-28
Wyoming,5,2020-04-28
Yates,1,2020-04-28
New York State,18015,2020-04-28
Albany,27,2020-04-28
Allegany,2,2020-04-28
Bronx,2628,2020-04-28
Broome,15,2020-04-28
Cattaraugus,2,2020-04-28
Cayuga,2,2020-04-28
Chautauqua,1,2020-04-28
Chemung,1,2020-04-28
Chenango,0,2020-04-28
Clinton,4,2020-04-28
Columbia,14,2020-04-28
Cortland,1,2020-04-28
Delaware,2,2020-04-28
Dutchess,68,2020-04-28
Erie,207,2020-04-28
Essex,0,2020-04-28
Franklin,0,2020-04-28
Fulton,3,2020-04-28
Genesee,3,2020-04-28
Greene,2,2020-04-28
Hamilton,0,2020-04-28
Herkimer,3,2020-04-28
Jefferson,0,2020-04-28
Kings,4032,2020-04-28
Lewis,4,2020-04-28
Livingston,1,2020-04-28
Madison,5,2020-04-28
Manhattan,1550,2020-04-28
Monroe,83,2020-04-28
Montgomery,4,2020-04-28
Nassau,1678,2020-04-28
New York,12218,2020-04-28
Niagara,21,2020-04-28
Oneida,14,2020-04-28
Onondaga,24,2020-04-28
Ontario,4,2020-04-28
Orange,236,2020-04-28
Orleans,8,2020-04-28
Oswego,2,2020-04-28
Otsego,3,2020-04-28
Putnam,45,2020-04-28
Queens,4008,2020-04-28
Rensselaer,9,2020-04-28
Richmond,556,2020-04-28
Rockland,392,2020-04-28
St. Lawrence,2,2020-04-28
Saratoga,11,2020-04-28
Schenectady,22,2020-04-28
Schoharie,1,2020-04-28
Schuyler,0,2020-04-28
Seneca,2,2020-04-28
Steuben,18,2020-04-28
Suffolk,1155,2020-04-28
Sullivan,15,2020-04-28
Tioga,5,2020-04-28
Tompkins,0,2020-04-28
Ulster,23,2020-04-28
Warren,8,2020-04-28
Washington,3,2020-04-28
Wayne,1,2020-04-28
Westchester,1006,2020-04-28
Wyoming,5,2020-04-28
Yates,1,2020-04-28
