county,deaths,date
Lewis,3,2020-04-13
Livingston,1,2020-04-13
Madison,2,2020-04-13
Manhattan,849,2020-04-13
Monroe,39,2020-04-13
Montgomery,2,2020-04-13
Nassau,846,2020-04-13
New York,6584,2020-04-13
Niagara,9,2020-04-13
Oneida,1,2020-04-13
Onondaga,9,2020-04-13
Ontario,0,2020-04-13
Orange,111,2020-04-13
Orleans,0,2020-04-13
Oswego,2,2020-04-13
Otsego,2,2020-04-13
Putnam,29,2020-04-13
Queens,2116,2020-04-13
Rensselaer,5,2020-04-13
Richmond,314,2020-04-13
Rockland,179,2020-04-13
St. Lawrence,1,2020-04-13
Saratoga,5,2020-04-13
Schenectady,8,2020-04-13
Schoharie,0,2020-04-13
Schuyler,0,2020-04-13
Seneca,0,2020-04-13
Steuben,5,2020-04-13
Suffolk,518,2020-04-13
Sullivan,6,2020-04-13
Tioga,0,2020-04-13
Tompkins,0,2020-04-13
Ulster,10,2020-04-13
Warren,0,2020-04-13
Washington,2,2020-04-13
Wayne,0,2020-04-13
Westchester,511,2020-04-13
Wyoming,1,2020-04-13
Yates,0,2020-04-13
Out of NY,0,2020-04-13
Unassigned,116,2020-04-13
New York State,10834,2020-04-15
Albany,13,2020-04-15
Allegany,1,2020-04-15
Bronx,1656,2020-04-15
Broome,6,2020-04-15
Cattaraugus,0,2020-04-15
Cayuga,2,2020-04-15
Chautauqua,1,2020-04-15
Chemung,1,2020-04-15
Chenango,0,2020-04-15
Clinton,3,2020-04-15
Columbia,9,2020-04-15
Cortland,1,2020-04-15
Delaware,1,2020-04-15
Dutchess,34,2020-04-15
Erie,94,2020-04-15
Essex,0,2020-04-15
Franklin,0,2020-04-15
Fulton,2,2020-04-15
Genesee,1,2020-04-15
Greene,0,2020-04-15
Hamilton,0,2020-04-15
Herkimer,3,2020-04-15
Jefferson,0,2020-04-15
Kings,2498,2020-04-15
Lewis,3,2020-04-15
Livingston,1,2020-04-15
Madison,2,2020-04-15
Manhattan,963,2020-04-15
Monroe,43,2020-04-15
Montgomery,2,2020-04-15
Nassau,1001,2020-04-15
New York,7538,2020-04-15
Niagara,10,2020-04-15
Oneida,2,2020-04-15
Onondaga,11,2020-04-15
Ontario,1,2020-04-15
Orange,126,2020-04-15
Orleans,0,2020-04-15
Oswego,2,2020-04-15
Otsego,2,2020-04-15
Putnam,31,2020-04-15
Queens,2421,2020-04-15
Rensselaer,5,2020-04-15
Richmond,367,2020-04-15
Rockland,209,2020-04-15
St. Lawrence,1,2020-04-15
Saratoga,6,2020-04-15
Schenectady,8,2020-04-15
Schoharie,1,2020-04-15
Schuyler,0,2020-04-15
Seneca,0,2020-04-15
Steuben,8,2020-04-15
Suffolk,608,2020-04-15
Sullivan,6,2020-04-15
Tioga,0,2020-04-15
Tompkins,0,2020-04-15
Ulster,13,2020-04-15
Warren,2,2020-04-15
Washington,3,2020-04-15
Wayne,1,2020-04-15
Westchester,596,2020-04-15
Wyoming,1,2020-04-15
Yates,0,2020-04-15
Out of NY,0,2020-04-15
Unassigned,116,2020-04-15
New York State,11586,2020-04-16
Albany,15,2020-04-16
Allegany,1,2020-04-16
Bronx,1771,2020-04-16
Broome,6,2020-04-16
Cattaraugus,0,2020-04-16
Cayuga,2,2020-04-16
Chautauqua,1,2020-04-16
Chemung,1,2020-04-16
Chenango,0,2020-04-16
Clinton,3,2020-04-16
Columbia,10,2020-04-16
Cortland,1,2020-04-16
Delaware,1,2020-04-16
Dutchess,38,2020-04-16
Erie,104,2020-04-16
Essex,0,2020-04-16
Franklin,0,2020-04-16
Fulton,2,2020-04-16
Genesee,2,2020-04-16
Greene,0,2020-04-16
Hamilton,0,2020-04-16
Herkimer,3,2020-04-16
Jefferson,0,2020-04-16
Kings,2672,2020-04-16
Lewis,3,2020-04-16
Livingston,1,2020-04-16
Madison,2,2020-04-16
Manhattan,1019,2020-04-16
Monroe,43,2020-04-16
Montgomery,2,2020-04-16
Nassau,1057,2020-04-16
New York,8066,2020-04-16
Niagara,10,2020-04-16
Oneida,3,2020-04-16
Onondaga,11,2020-04-16
Ontario,1,2020-04-16
Orange,133,2020-04-16
Orleans,0,2020-04-16
Oswego,2,2020-04-16
Otsego,2,2020-04-16
Putnam,31,2020-04-16
Queens,2604,2020-04-16
Rensselaer,6,2020-04-16
Richmond,386,2020-04-16
Rockland,229,2020-04-16
