chr_code,kendall_cor,kendall_p,DIR
Lack of Exercise Opps,0.9999999999999998,0.014305878435429662,Destructive
Excessive Drinking,-0.7999999999999998,0.05004352124870516,Protective
Rural,-0.7999999999999998,0.05004352124870516,Protective
