"Notes"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	1070	7564245	14.145496
	"Alaska"	"02"	125	1200871	10.409111
	"Arizona"	"04"	809	10377705	7.795558
	"Arkansas"	"05"	478	4544584	10.518014
	"California"	"06"	3913	63033985	6.207762
	"Colorado"	"08"	449	9010369	4.983148
	"Connecticut"	"09"	215	5691302	3.777694
	"Delaware"	"10"	113	1486743	7.600507
	"District of Columbia"	"11"	244	1207893	20.200465
	"Florida"	"12"	2344	31922133	7.342868
	"Georgia"	"13"	1408	16330976	8.621652
	"Hawaii"	"15"	70	2239537	3.125646
	"Idaho"	"16"	74	2506546	2.952270
	"Illinois"	"17"	1720	20389189	8.435843
	"Indiana"	"18"	788	10223782	7.707520
	"Iowa"	"19"	161	4704866	3.421989
	"Kansas"	"20"	285	4374402	6.515176
	"Kentucky"	"21"	573	6946429	8.248843
	"Louisiana"	"22"	1160	7341162	15.801313
	"Maine"	"23"	42	2127854	1.973820
	"Maryland"	"24"	1075	9758442	11.016103
	"Massachusetts"	"25"	267	10997406	2.427845
	"Michigan"	"26"	1175	15454685	7.602873
	"Minnesota"	"27"	227	8697467	2.609955
	"Mississippi"	"28"	706	4559504	15.484140
	"Missouri"	"29"	1136	9451876	12.018778
	"Montana"	"30"	77	1591010	4.839693
	"Nebraska"	"31"	127	2866649	4.430260
	"Nevada"	"32"	397	4722797	8.406036
	"New Hampshire"	"33"	34	2159336	1.574558
	"New Jersey"	"34"	726	14443988	5.026313
	"New Mexico"	"35"	336	3148743	10.670925
	"New York"	"36"	1207	31965583	3.775936
	"North Carolina"	"37"	1291	15927794	8.105328
	"North Dakota"	"38"	41	1140747	3.594136
	"Ohio"	"39"	1363	18133419	7.516509
	"Oklahoma"	"40"	658	5961624	11.037261
	"Oregon"	"41"	258	6509001	3.963742
	"Pennsylvania"	"42"	1328	20110967	6.603362
	"Rhode Island"	"44"	46	1680621	2.737083
	"South Carolina"	"45"	857	7684699	11.152031
	"South Dakota"	"46"	65	1287191	5.049756
	"Tennessee"	"47"	991	10463255	9.471240
	"Texas"	"48"	3146	43404987	7.248015
	"Utah"	"49"	126	4394132	2.867461
	"Vermont"	"50"	28	976799	2.866506
	"Virginia"	"51"	783	13526425	5.788669
	"Washington"	"53"	427	11764354	3.629609
	"West Virginia"	"54"	201	2849467	7.053951
	"Wisconsin"	"55"	442	9013013	4.904020
	"Wyoming"	"56"	32	908285	3.523123
"Total"			35614	508778839	6.999898
