"Notes"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	778	7546691	10.309154
	"Alaska"	"02"	80	1199778	6.667900
	"Arizona"	"04"	710	10000302	7.099786
	"Arkansas"	"05"	445	4522327	9.840067
	"California"	"06"	3374	61198048	5.513248
	"Colorado"	"08"	352	8610147	4.088200
	"Connecticut"	"09"	188	5763233	3.262058
	"Delaware"	"10"	105	1448225	7.250255
	"District of Columbia"	"11"	153	1137304	13.452867
	"Florida"	"12"	2166	30375507	7.130745
	"Georgia"	"13"	1201	15893933	7.556342
	"Hawaii"	"15"	59	2226671	2.649695
	"Idaho"	"16"	60	2419155	2.480205
	"Illinois"	"17"	1223	20569135	5.945802
	"Indiana"	"18"	649	10201759	6.361648
	"Iowa"	"19"	116	4704213	2.465875
	"Kansas"	"20"	200	4398678	4.546821
	"Kentucky"	"21"	440	6959856	6.321970
	"Louisiana"	"22"	995	7275510	13.676017
	"Maine"	"23"	46	2154352	2.135213
	"Maryland"	"24"	746	9676624	7.709300
	"Massachusetts"	"25"	229	10859412	2.108770
	"Michigan"	"26"	1189	15485401	7.678200
	"Minnesota"	"27"	196	8632672	2.270444
	"Mississippi"	"28"	605	4571404	13.234446
	"Missouri"	"29"	780	9429904	8.271558
	"Montana"	"30"	59	1578906	3.736765
	"Nebraska"	"31"	119	2852846	4.171273
	"Nevada"	"32"	314	4491297	6.991299
	"New Hampshire"	"33"	36	2168608	1.660051
	"New Jersey"	"34"	704	14419698	4.882210
	"New Mexico"	"35"	264	3185922	8.286455
	"New York"	"36"	1203	31791858	3.783988
	"North Carolina"	"37"	1059	15520650	6.823168
	"North Dakota"	"38"	28	1094154	2.559055
	"Ohio"	"39"	1064	18183614	5.851422
	"Oklahoma"	"40"	495	5883708	8.413062
	"Oregon"	"41"	196	6303194	3.109535
	"Pennsylvania"	"42"	1133	20165169	5.618599
	"Rhode Island"	"44"	47	1670528	2.813482
	"South Carolina"	"45"	650	7446873	8.728496
	"South Dakota"	"46"	34	1276015	2.664545
	"Tennessee"	"47"	791	10279057	7.695258
	"Texas"	"48"	2629	41272103	6.369920
	"Utah"	"49"	103	4167384	2.471574
	"Vermont"	"50"	19	1003029	Unreliable
	"Virginia"	"51"	613	13385621	4.579541
	"Washington"	"53"	392	11291322	3.471693
	"West Virginia"	"54"	186	2940011	6.326507
	"Wisconsin"	"55"	297	9074442	3.272929
	"Wyoming"	"56"	34	921740	3.688676
"Total"			29554	499627990	5.915201
