"Notes"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	788	7526262	10.470005
	"Alaska"	"02"	60	1178778	5.090017
	"Arizona"	"04"	769	9764939	7.875113
	"Arkansas"	"05"	410	4505554	9.099880
	"California"	"06"	3268	59455873	5.496513
	"Colorado"	"08"	345	8311680	4.150785
	"Connecticut"	"09"	234	5770126	4.055371
	"Delaware"	"10"	87	1418294	6.134130
	"District of Columbia"	"11"	193	1040738	18.544533
	"Florida"	"12"	2041	29449897	6.930415
	"Georgia"	"13"	1169	15607318	7.490076
	"Hawaii"	"15"	43	2191173	1.962419
	"Idaho"	"16"	35	2370448	1.476514
	"Illinois"	"17"	1257	20543595	6.118695
	"Indiana"	"18"	610	10157735	6.005276
	"Iowa"	"19"	98	4678122	2.094858
	"Kansas"	"20"	214	4383218	4.882258
	"Kentucky"	"21"	391	6975971	5.604954
	"Louisiana"	"22"	974	7145421	13.631107
	"Maine"	"23"	57	2180381	2.614222
	"Maryland"	"24"	794	9475467	8.379534
	"Massachusetts"	"25"	292	10657160	2.739942
	"Michigan"	"26"	1138	15614868	7.287926
	"Minnesota"	"27"	168	8511572	1.973783
	"Mississippi"	"28"	585	4576637	12.782312
	"Missouri"	"29"	742	9406889	7.887836
	"Montana"	"30"	56	1572222	3.561838
	"Nebraska"	"31"	105	2813764	3.731656
	"Nevada"	"32"	265	4388522	6.038479
	"New Hampshire"	"33"	35	2183501	1.602930
	"New Jersey"	"34"	646	14321502	4.510700
	"New Mexico"	"35"	307	3190840	9.621291
	"New York"	"36"	1456	31384419	4.639245
	"North Carolina"	"37"	1033	15257204	6.770572
	"North Dakota"	"38"	24	1033176	2.322934
	"Ohio"	"39"	1026	18259656	5.618945
	"Oklahoma"	"40"	420	5798755	7.242934
	"Oregon"	"41"	210	6222853	3.374658
	"Pennsylvania"	"42"	1120	20086176	5.575974
	"Rhode Island"	"44"	45	1669547	2.695342
	"South Carolina"	"45"	650	7316890	8.883556
	"South Dakota"	"46"	39	1241251	3.141991
	"Tennessee"	"47"	861	10180367	8.457455
	"Texas"	"48"	2536	39400047	6.436541
	"Utah"	"49"	89	3978673	2.236927
	"Vermont"	"50"	13	1020586	Unreliable
	"Virginia"	"51"	652	13110241	4.973211
	"Washington"	"53"	324	11017453	2.940789
	"West Virginia"	"54"	188	2993043	6.281233
	"Wisconsin"	"55"	273	9063553	3.012064
	"Wyoming"	"56"	24	904278	2.654051
"Total"			29159	491306635	5.934990
