"Notes"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	866	7361371	11.764113
	"Alaska"	"02"	81	1122523	7.215888
	"Arizona"	"04"	900	9431079	9.542917
	"Arkansas"	"05"	453	4411685	10.268186
	"California"	"06"	3876	57715539	6.715696
	"Colorado"	"08"	319	7926484	4.024483
	"Connecticut"	"09"	202	5694060	3.547557
	"Delaware"	"10"	101	1380899	7.314076
	"District of Columbia"	"11"	278	977174	28.449386
	"Florida"	"12"	2279	28739229	7.929927
	"Georgia"	"13"	1320	15062721	8.763357
	"Hawaii"	"15"	58	2128295	2.725186
	"Idaho"	"16"	61	2272167	2.684662
	"Illinois"	"17"	1356	20220912	6.705929
	"Indiana"	"18"	633	9988226	6.337462
	"Iowa"	"19"	118	4572904	2.580417
	"Kansas"	"20"	189	4255070	4.441760
	"Kentucky"	"21"	423	6848955	6.176125
	"Louisiana"	"22"	982	6855689	14.323870
	"Maine"	"23"	50	2177027	2.296710
	"Maryland"	"24"	942	9271017	10.160698
	"Massachusetts"	"25"	280	10454664	2.678231
	"Michigan"	"26"	1279	15796780	8.096587
	"Minnesota"	"27"	210	8292140	2.532519
	"Mississippi"	"28"	575	4495575	12.790355
	"Missouri"	"29"	735	9218487	7.973109
	"Montana"	"30"	63	1522391	4.138227
	"Nebraska"	"31"	113	2724074	4.148199
	"Nevada"	"32"	339	4240203	7.994900
	"New Hampshire"	"33"	39	2169268	1.797841
	"New Jersey"	"34"	701	14140073	4.957542
	"New Mexico"	"35"	273	3078655	8.867509
	"New York"	"36"	1517	30934894	4.903847
	"North Carolina"	"37"	1228	14638997	8.388553
	"North Dakota"	"38"	14	981605	Unreliable
	"Ohio"	"39"	1156	18187504	6.356012
	"Oklahoma"	"40"	431	5600575	7.695638
	"Oregon"	"41"	187	6034411	3.098894
	"Pennsylvania"	"42"	1250	19801543	6.312639
	"Rhode Island"	"44"	46	1676689	2.743502
	"South Carolina"	"45"	696	7062409	9.854994
	"South Dakota"	"46"	37	1192132	3.103683
	"Tennessee"	"47"	901	9934176	9.069700
	"Texas"	"48"	2766	37177764	7.439931
	"Utah"	"49"	92	3698623	2.487412
	"Vermont"	"50"	27	1015642	2.658417
	"Virginia"	"51"	696	12686838	5.486001
	"Washington"	"53"	373	10582886	3.524558
	"West Virginia"	"54"	165	2966273	5.562536
	"Wisconsin"	"55"	292	8879618	3.288430
	"Wyoming"	"56"	28	852872	3.283025
"Total"			31996	478450787	6.687417
