"Notes"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	10993	7101098	154.807045
	"Alaska"	"02"	823	1075936	76.491539
	"Arizona"	"04"	7156	8624316	82.974696
	"Arkansas"	"05"	5956	4235191	140.631202
	"California"	"06"	43251	56104425	77.090176
	"Colorado"	"08"	4559	7525689	60.579171
	"Connecticut"	"09"	4164	5621396	74.074127
	"Delaware"	"10"	1332	1316986	101.140027
	"District of Columbia"	"11"	1374	956180	143.696793
	"Florida"	"12"	26757	27078131	98.814058
	"Georgia"	"13"	16594	14152071	117.254923
	"Hawaii"	"15"	1830	2028472	90.215689
	"Idaho"	"16"	1567	2090706	74.950758
	"Illinois"	"17"	19534	19849279	98.411635
	"Indiana"	"18"	10484	9714415	107.922093
	"Iowa"	"19"	3869	4456222	86.822425
	"Kansas"	"20"	3683	4131532	89.143688
	"Kentucky"	"21"	8532	6638562	128.521809
	"Louisiana"	"22"	10038	7001376	143.371817
	"Maine"	"23"	1742	2140701	81.375213
	"Maryland"	"24"	8919	9074026	98.291541
	"Massachusetts"	"25"	7198	10392336	69.262580
	"Michigan"	"26"	17322	15799843	109.634001
	"Minnesota"	"27"	4676	8034169	58.201414
	"Mississippi"	"28"	7522	4376767	171.862016
	"Missouri"	"29"	10230	8933431	114.513673
	"Montana"	"30"	1223	1449470	84.375668
	"Nebraska"	"31"	1914	2643048	72.416392
	"Nevada"	"32"	4665	3832405	121.725131
	"New Hampshire"	"33"	1343	2122454	63.275812
	"New Jersey"	"34"	10936	14008462	78.067100
	"New Mexico"	"35"	2220	2913679	76.192333
	"New York"	"36"	25893	30767963	84.155717
	"North Carolina"	"37"	14708	13782148	106.717763
	"North Dakota"	"38"	729	947849	76.910985
	"Ohio"	"39"	19135	17985127	106.393466
	"Oklahoma"	"40"	7535	5385798	139.904987
	"Oregon"	"41"	4180	5750431	72.690204
	"Pennsylvania"	"42"	19252	19426873	99.099840
	"Rhode Island"	"44"	1438	1685407	85.320638
	"South Carolina"	"45"	9008	6681832	134.813327
	"South Dakota"	"46"	961	1140259	84.279098
	"Tennessee"	"47"	13058	9503645	137.399913
	"Texas"	"48"	32707	34692035	94.278125
	"Utah"	"49"	1796	3350074	53.610756
	"Vermont"	"50"	646	1004004	64.342373
	"Virginia"	"51"	11220	12225746	91.773541
	"Washington"	"53"	7138	10027899	71.181411
	"West Virginia"	"54"	3734	2914532	128.116624
	"Wisconsin"	"55"	6502	8634575	75.301911
	"Wyoming"	"56"	709	801580	88.450311
"Total"			442755	462130551	95.807343
