"Notes"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	11902	7546691	157.711506
	"Alaska"	"02"	999	1199778	83.265404
	"Arizona"	"04"	7699	10000302	76.987675
	"Arkansas"	"05"	6701	4522327	148.175928
	"California"	"06"	42200	61198048	68.956448
	"Colorado"	"08"	5162	8610147	59.952519
	"Connecticut"	"09"	3995	5763233	69.318731
	"Delaware"	"10"	1396	1448225	96.393861
	"District of Columbia"	"11"	1258	1137304	110.612466
	"Florida"	"12"	27802	30375507	91.527690
	"Georgia"	"13"	17723	15893933	111.507957
	"Hawaii"	"15"	1992	2226671	89.460904
	"Idaho"	"16"	1729	2419155	71.471237
	"Illinois"	"17"	18629	20569135	90.567737
	"Indiana"	"18"	10947	10201759	107.305025
	"Iowa"	"19"	4079	4704213	86.709509
	"Kansas"	"20"	3796	4398678	86.298656
	"Kentucky"	"21"	9226	6959856	132.560214
	"Louisiana"	"22"	10389	7275510	142.794113
	"Maine"	"23"	1661	2154352	77.099750
	"Maryland"	"24"	8857	9676624	91.529856
	"Massachusetts"	"25"	6468	10859412	59.561236
	"Michigan"	"26"	17467	15485401	112.796562
	"Minnesota"	"27"	4891	8632672	56.656850
	"Mississippi"	"28"	7596	4571404	166.163393
	"Missouri"	"29"	10978	9429904	116.416880
	"Montana"	"30"	1344	1578906	85.122230
	"Nebraska"	"31"	1978	2852846	69.334272
	"Nevada"	"32"	5016	4491297	111.682661
	"New Hampshire"	"33"	1398	2168608	64.465316
	"New Jersey"	"34"	10657	14419698	73.905847
	"New Mexico"	"35"	2505	3185922	78.627160
	"New York"	"36"	24371	31791858	76.657992
	"North Carolina"	"37"	15488	15520650	99.789635
	"North Dakota"	"38"	875	1094154	79.970461
	"Ohio"	"39"	19753	18183614	108.630771
	"Oklahoma"	"40"	8457	5883708	143.735889
	"Oregon"	"41"	4025	6303194	63.856515
	"Pennsylvania"	"42"	18346	20165169	90.978657
	"Rhode Island"	"44"	1218	1670528	72.911080
	"South Carolina"	"45"	9775	7446873	131.263149
	"South Dakota"	"46"	1043	1276015	81.738851
	"Tennessee"	"47"	14091	10279057	137.084559
	"Texas"	"48"	37168	41272103	90.055988
	"Utah"	"49"	2112	4167384	50.679275
	"Vermont"	"50"	652	1003029	65.003106
	"Virginia"	"51"	11075	13385621	82.738037
	"Washington"	"53"	7367	11291322	65.244796
	"West Virginia"	"54"	3737	2940011	127.108368
	"Wisconsin"	"55"	7054	9074442	77.734807
	"Wyoming"	"56"	777	921740	84.297090
"Total"			455824	499627990	91.232679
