"Notes"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	11159	7361371	151.588610
	"Alaska"	"02"	765	1122523	68.150051
	"Arizona"	"04"	7551	9431079	80.065070
	"Arkansas"	"05"	6370	4411685	144.389275
	"California"	"06"	42979	57715539	74.466947
	"Colorado"	"08"	4724	7926484	59.597673
	"Connecticut"	"09"	3918	5694060	68.808548
	"Delaware"	"10"	1422	1380899	102.976394
	"District of Columbia"	"11"	1307	977174	133.753047
	"Florida"	"12"	26730	28739229	93.008758
	"Georgia"	"13"	16817	15062721	111.646495
	"Hawaii"	"15"	1840	2128295	86.454180
	"Idaho"	"16"	1606	2272167	70.681424
	"Illinois"	"17"	18916	20220912	93.546720
	"Indiana"	"18"	10519	9988226	105.313997
	"Iowa"	"19"	3872	4572904	84.672672
	"Kansas"	"20"	3542	4255070	83.241874
	"Kentucky"	"21"	8515	6848955	124.325536
	"Louisiana"	"22"	9919	6855689	144.682759
	"Maine"	"23"	1795	2177027	82.451894
	"Maryland"	"24"	8894	9271017	95.933380
	"Massachusetts"	"25"	6802	10454664	65.061871
	"Michigan"	"26"	17254	15796780	109.224791
	"Minnesota"	"27"	4599	8292140	55.462161
	"Mississippi"	"28"	7505	4495575	166.941937
	"Missouri"	"29"	10426	9218487	113.098820
	"Montana"	"30"	1296	1522391	85.129247
	"Nebraska"	"31"	1951	2724074	71.620668
	"Nevada"	"32"	4787	4240203	112.895538
	"New Hampshire"	"33"	1437	2169268	66.243544
	"New Jersey"	"34"	10434	14140073	73.790284
	"New Mexico"	"35"	2424	3078655	78.735682
	"New York"	"36"	25997	30934894	84.037786
	"North Carolina"	"37"	15118	14638997	103.272103
	"North Dakota"	"38"	764	981605	77.831714
	"Ohio"	"39"	19349	18187504	106.386231
	"Oklahoma"	"40"	7567	5600575	135.111127
	"Oregon"	"41"	4218	6034411	69.899117
	"Pennsylvania"	"42"	19035	19801543	96.128872
	"Rhode Island"	"44"	1278	1676689	76.221649
	"South Carolina"	"45"	9215	7062409	130.479557
	"South Dakota"	"46"	928	1192132	77.843729
	"Tennessee"	"47"	13149	9934176	132.361255
	"Texas"	"48"	33717	37177764	90.691307
	"Utah"	"49"	1909	3698623	51.613803
	"Vermont"	"50"	685	1015642	67.445025
	"Virginia"	"51"	11163	12686838	87.988827
	"Washington"	"53"	7211	10582886	68.138313
	"West Virginia"	"54"	3706	2966273	124.937927
	"Wisconsin"	"55"	6696	8879618	75.408649
	"Wyoming"	"56"	774	852872	90.752188
"Total"			444554	478450787	92.915303
