"Notes"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	10278	6946936	147.950118
	"Alaska"	"02"	782	1038678	75.288010
	"Arizona"	"04"	6745	7959744	84.738906
	"Arkansas"	"05"	5812	4106204	141.541920
	"California"	"06"	40284	53930950	74.695513
	"Colorado"	"08"	4341	7230404	60.038139
	"Connecticut"	"09"	4387	5512049	79.589278
	"Delaware"	"10"	1243	1253136	99.191149
	"District of Columbia"	"11"	1368	952514	143.619936
	"Florida"	"12"	25591	25205153	101.530826
	"Georgia"	"13"	15915	13458219	118.254875
	"Hawaii"	"15"	1808	1943665	93.020145
	"Idaho"	"16"	1464	1959781	74.702224
	"Illinois"	"17"	19742	19530955	101.080567
	"Indiana"	"18"	10041	9487582	105.833077
	"Iowa"	"19"	3777	4392262	85.992138
	"Kansas"	"20"	3460	4057771	85.268489
	"Kentucky"	"21"	8266	6467858	127.801198
	"Louisiana"	"22"	9442	6813447	138.578901
	"Maine"	"23"	1721	2080295	82.728651
	"Maryland"	"24"	8750	8784792	99.603952
	"Massachusetts"	"25"	7300	10306798	70.827041
	"Michigan"	"26"	16921	15640271	108.188662
	"Minnesota"	"27"	4690	7804900	60.090456
	"Mississippi"	"28"	7185	4271622	168.203085
	"Missouri"	"29"	9743	8707220	111.895645
	"Montana"	"30"	1220	1404590	86.858087
	"Nebraska"	"31"	1990	2580819	77.107306
	"Nevada"	"32"	3955	3413317	115.869695
	"New Hampshire"	"33"	1447	2056109	70.375646
	"New Jersey"	"34"	11410	13743574	83.020617
	"New Mexico"	"35"	2167	2787176	77.748947
	"New York"	"36"	27196	30413477	89.420884
	"North Carolina"	"37"	14280	13164065	108.477131
	"North Dakota"	"38"	795	938251	84.732124
	"Ohio"	"39"	19419	17760077	109.340742
	"Oklahoma"	"40"	7188	5269081	136.418476
	"Oregon"	"41"	4067	5518040	73.703706
	"Pennsylvania"	"42"	19484	19102242	101.998498
	"Rhode Island"	"44"	1345	1642622	81.881285
	"South Carolina"	"45"	8660	6409817	135.105261
	"South Dakota"	"46"	954	1107868	86.111342
	"Tennessee"	"47"	12461	9201979	135.416523
	"Texas"	"48"	31824	32799413	97.026127
	"Utah"	"49"	1719	3100468	55.443243
	"Vermont"	"50"	674	988135	68.209303
	"Virginia"	"51"	11069	11778089	93.979592
	"Washington"	"53"	6799	9625329	70.636547
	"West Virginia"	"54"	3814	2871204	132.836260
	"Wisconsin"	"55"	6888	8397742	82.022048
	"Wyoming"	"56"	655	776855	84.314319
"Total"			432536	446693545	96.830591
