"Notes"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	39279	7361371	533.58267
	"Alaska"	"02"	4022	1122523	358.30001
	"Arizona"	"04"	34887	9431079	369.91526
	"Arkansas"	"05"	22700	4411685	514.54263
	"California"	"06"	176190	57715539	305.27307
	"Colorado"	"08"	23833	7926484	300.67556
	"Connecticut"	"09"	17103	5694060	300.36564
	"Delaware"	"10"	5649	1380899	409.08133
	"District of Columbia"	"11"	5266	977174	538.90095
	"Florida"	"12"	118232	28739229	411.39587
	"Georgia"	"13"	61830	15062721	410.48360
	"Hawaii"	"15"	6776	2128295	318.37692
	"Idaho"	"16"	7193	2272167	316.57004
	"Illinois"	"17"	71219	20220912	352.20469
	"Indiana"	"18"	40344	9988226	403.91557
	"Iowa"	"19"	15265	4572904	333.81414
	"Kansas"	"20"	15491	4255070	364.05982
	"Kentucky"	"21"	32538	6848955	475.07977
	"Louisiana"	"22"	35910	6855689	523.79856
	"Maine"	"23"	7932	2177027	364.35010
	"Maryland"	"24"	34636	9271017	373.59440
	"Massachusetts"	"25"	31708	10454664	303.29047
	"Michigan"	"26"	63671	15796780	403.06316
	"Minnesota"	"27"	22528	8292140	271.67896
	"Mississippi"	"28"	25252	4495575	561.70790
	"Missouri"	"29"	39105	9218487	424.20193
	"Montana"	"30"	5903	1522391	387.74533
	"Nebraska"	"31"	8693	2724074	319.11762
	"Nevada"	"32"	17259	4240203	407.03240
	"New Hampshire"	"33"	6637	2169268	305.95574
	"New Jersey"	"34"	45727	14140073	323.38588
	"New Mexico"	"35"	13180	3078655	428.10903
	"New York"	"36"	99221	30934894	320.74136
	"North Carolina"	"37"	60415	14638997	412.69904
	"North Dakota"	"38"	3152	981605	321.10676
	"Ohio"	"39"	74952	18187504	412.10713
	"Oklahoma"	"40"	28475	5600575	508.42994
	"Oregon"	"41"	21473	6034411	355.84252
	"Pennsylvania"	"42"	77447	19801543	391.11599
	"Rhode Island"	"44"	5675	1676689	338.46468
	"South Carolina"	"45"	34442	7062409	487.68062
	"South Dakota"	"46"	4032	1192132	338.21758
	"Tennessee"	"47"	48479	9934176	488.00223
	"Texas"	"48"	135092	37177764	363.36774
	"Utah"	"49"	10474	3698623	283.18647
	"Vermont"	"50"	3307	1015642	325.60686
	"Virginia"	"51"	43963	12686838	346.52448
	"Washington"	"53"	33534	10582886	316.87009
	"West Virginia"	"54"	15929	2966273	537.00384
	"Wisconsin"	"55"	28394	8879618	319.76601
	"Wyoming"	"56"	3356	852872	393.49398
"Total"			1787770	478450787	373.65807
