"Notes"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	43802	7564245	579.06638
	"Alaska"	"02"	4903	1200871	408.28699
	"Arizona"	"04"	41041	10377705	395.47279
	"Arkansas"	"05"	25422	4544584	559.39113
	"California"	"06"	186803	63033985	296.35283
	"Colorado"	"08"	28672	9010369	318.21116
	"Connecticut"	"09"	18668	5691302	328.00930
	"Delaware"	"10"	6446	1486743	433.56518
	"District of Columbia"	"11"	4934	1207893	408.47989
	"Florida"	"12"	135219	31922133	423.59012
	"Georgia"	"13"	70594	16330976	432.27055
	"Hawaii"	"15"	7333	2239537	327.43375
	"Idaho"	"16"	8901	2506546	355.11018
	"Illinois"	"17"	75103	20389189	368.34717
	"Indiana"	"18"	48231	10223782	471.75302
	"Iowa"	"19"	17467	4704866	371.25393
	"Kansas"	"20"	17815	4374402	407.25567
	"Kentucky"	"21"	40589	6946429	584.31462
	"Louisiana"	"22"	39738	7341162	541.30395
	"Maine"	"23"	9108	2127854	428.03689
	"Maryland"	"24"	38028	9758442	389.69335
	"Massachusetts"	"25"	36142	10997406	328.64114
	"Michigan"	"26"	69500	15454685	449.70182
	"Minnesota"	"27"	26056	8697467	299.58148
	"Mississippi"	"28"	27919	4559504	612.32538
	"Missouri"	"29"	44761	9451876	473.56736
	"Montana"	"30"	6932	1591010	435.69808
	"Nebraska"	"31"	10033	2866649	349.99053
	"Nevada"	"32"	19516	4722797	413.22970
	"New Hampshire"	"33"	8245	2159336	381.83034
	"New Jersey"	"34"	48167	14443988	333.47438
	"New Mexico"	"35"	15376	3148743	488.32185
	"New York"	"36"	100701	31965583	315.02945
	"North Carolina"	"37"	69548	15927794	436.64553
	"North Dakota"	"38"	4085	1140747	358.09868
	"Ohio"	"39"	89454	18133419	493.31017
	"Oklahoma"	"40"	32732	5961624	549.04503
	"Oregon"	"41"	23501	6509001	361.05387
	"Pennsylvania"	"42"	86876	20110967	431.98321
	"Rhode Island"	"44"	6178	1680621	367.60221
	"South Carolina"	"45"	39657	7684699	516.05144
	"South Dakota"	"46"	5031	1287191	390.85109
	"Tennessee"	"47"	56658	10463255	541.49497
	"Texas"	"48"	159271	43404987	366.94171
	"Utah"	"49"	13280	4394132	302.22124
	"Vermont"	"50"	3724	976799	381.24527
	"Virginia"	"51"	49291	13526425	364.40523
	"Washington"	"53"	38134	11764354	324.14870
	"West Virginia"	"54"	18497	2849467	649.13894
	"Wisconsin"	"55"	32580	9013013	361.47734
	"Wyoming"	"56"	3750	908285	412.86601
"Total"			2014412	508778839	395.93077
