"Notes"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	1978	7101098	27.85485
	"Alaska"	"02"	647	1075936	60.13369
	"Arizona"	"04"	4053	8624316	46.99503
	"Arkansas"	"05"	1451	4235191	34.26056
	"California"	"06"	17957	56104425	32.00639
	"Colorado"	"08"	3476	7525689	46.18846
	"Connecticut"	"09"	1594	5621396	28.35595
	"Delaware"	"10"	445	1316986	33.78927
	"District of Columbia"	"11"	478	956180	49.99059
	"Florida"	"12"	11383	27078131	42.03761
	"Georgia"	"13"	4462	14152071	31.52895
	"Hawaii"	"15"	627	2028472	30.90997
	"Idaho"	"16"	779	2090706	37.26014
	"Illinois"	"17"	5078	19849279	25.58279
	"Indiana"	"18"	3237	9714415	33.32162
	"Iowa"	"19"	1079	4456222	24.21334
	"Kansas"	"20"	1428	4131532	34.56345
	"Kentucky"	"21"	2902	6638562	43.71429
	"Louisiana"	"22"	2747	7001376	39.23514
	"Maine"	"23"	774	2140701	36.15638
	"Maryland"	"24"	3136	9074026	34.56018
	"Massachusetts"	"25"	3459	10392336	33.28414
	"Michigan"	"26"	5875	15799843	37.18391
	"Minnesota"	"27"	2078	8034169	25.86453
	"Mississippi"	"28"	1480	4376767	33.81491
	"Missouri"	"29"	3238	8933431	36.24587
	"Montana"	"30"	706	1449470	48.70746
	"Nebraska"	"31"	607	2643048	22.96591
	"Nevada"	"32"	2013	3832405	52.52576
	"New Hampshire"	"33"	740	2122454	34.86530
	"New Jersey"	"34"	3540	14008462	25.27044
	"New Mexico"	"35"	1903	2913679	65.31262
	"New York"	"36"	6215	30767963	20.19958
	"North Carolina"	"37"	4793	13782148	34.77687
	"North Dakota"	"38"	226	947849	23.84346
	"Ohio"	"39"	5739	17985127	31.90970
	"Oklahoma"	"40"	2302	5385798	42.74204
	"Oregon"	"41"	2588	5750431	45.00532
	"Pennsylvania"	"42"	6912	19426873	35.57958
	"Rhode Island"	"44"	566	1685407	33.58239
	"South Carolina"	"45"	2264	6681832	33.88292
	"South Dakota"	"46"	341	1140259	29.90549
	"Tennessee"	"47"	4041	9503645	42.52053
	"Texas"	"48"	10265	34692035	29.58892
	"Utah"	"49"	1779	3350074	53.10330
	"Vermont"	"50"	341	1004004	33.96401
	"Virginia"	"51"	3427	12225746	28.03101
	"Washington"	"53"	3995	10027899	39.83885
	"West Virginia"	"54"	1288	2914532	44.19234
	"Wisconsin"	"55"	2803	8634575	32.46251
	"Wyoming"	"56"	344	801580	42.91524
"Total"			155579	462130551	33.66560
