"Notes"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	1851	6946936	26.64484
	"Alaska"	"02"	620	1038678	59.69126
	"Arizona"	"04"	3378	7959744	42.43855
	"Arkansas"	"05"	1197	4106204	29.15101
	"California"	"06"	13503	53930950	25.03757
	"Colorado"	"08"	2905	7230404	40.17756
	"Connecticut"	"09"	1626	5512049	29.49901
	"Delaware"	"10"	425	1253136	33.91491
	"District of Columbia"	"11"	449	952514	47.13841
	"Florida"	"12"	8971	25205153	35.59193
	"Georgia"	"13"	3771	13458219	28.02005
	"Hawaii"	"15"	479	1943665	24.64416
	"Idaho"	"16"	611	1959781	31.17695
	"Illinois"	"17"	4920	19530955	25.19078
	"Indiana"	"18"	2546	9487582	26.83508
	"Iowa"	"19"	852	4392262	19.39775
	"Kansas"	"20"	1123	4057771	27.67529
	"Kentucky"	"21"	2136	6467858	33.02484
	"Louisiana"	"22"	1958	6813447	28.73729
	"Maine"	"23"	613	2080295	29.46697
	"Maryland"	"24"	2931	8784792	33.36448
	"Massachusetts"	"25"	2897	10306798	28.10766
	"Michigan"	"26"	5139	15640271	32.85749
	"Minnesota"	"27"	1723	7804900	22.07588
	"Mississippi"	"28"	1185	4271622	27.74122
	"Missouri"	"29"	2624	8707220	30.13591
	"Montana"	"30"	549	1404590	39.08614
	"Nebraska"	"31"	581	2580819	22.51223
	"Nevada"	"32"	1662	3413317	48.69164
	"New Hampshire"	"33"	553	2056109	26.89546
	"New Jersey"	"34"	3633	13743574	26.43417
	"New Mexico"	"35"	1681	2787176	60.31194
	"New York"	"36"	6272	30413477	20.62244
	"North Carolina"	"37"	3911	13164065	29.70967
	"North Dakota"	"38"	222	938251	23.66105
	"Ohio"	"39"	4759	17760077	26.79605
	"Oklahoma"	"40"	1783	5269081	33.83892
	"Oregon"	"41"	2103	5518040	38.11136
	"Pennsylvania"	"42"	5671	19102242	29.68761
	"Rhode Island"	"44"	471	1642622	28.67367
	"South Carolina"	"45"	1831	6409817	28.56556
	"South Dakota"	"46"	259	1107868	23.37824
	"Tennessee"	"47"	2879	9201979	31.28675
	"Texas"	"48"	8486	32799413	25.87241
	"Utah"	"49"	1331	3100468	42.92900
	"Vermont"	"50"	277	988135	28.03261
	"Virginia"	"51"	2936	11778089	24.92764
	"Washington"	"53"	3281	9625329	34.08715
	"West Virginia"	"54"	1056	2871204	36.77900
	"Wisconsin"	"55"	2289	8397742	27.25733
	"Wyoming"	"56"	317	776855	40.80556
"Total"			129226	446693545	28.92945
