"Notes"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	3482	7546691	46.139427201
	"Alaska"	"02"	793	1199778	66.095561012
	"Arizona"	"04"	6105	10000302	61.048156346
	"Arkansas"	"05"	2059	4522327	45.529657630
	"California"	"06"	20985	61198048	34.290309390
	"Colorado"	"08"	4813	8610147	55.899161768
	"Connecticut"	"09"	2387	5763233	41.417725086
	"Delaware"	"10"	754	1448225	52.063733191
	"District of Columbia"	"11"	415	1137304	36.489803957
	"Florida"	"12"	13732	30375507	45.207475878
	"Georgia"	"13"	6077	15893933	38.234715095
	"Hawaii"	"15"	825	2226671	37.050826099
	"Idaho"	"16"	1189	2419155	49.149393073
	"Illinois"	"17"	7497	20569135	36.447813678
	"Indiana"	"18"	5229	10201759	51.255866758
	"Iowa"	"19"	1733	4704213	36.839318288
	"Kansas"	"20"	1953	4398678	44.399703729
	"Kentucky"	"21"	4765	6959856	68.464060176
	"Louisiana"	"22"	3390	7275510	46.594671714
	"Maine"	"23"	1039	2154352	48.227959034
	"Maryland"	"24"	3828	9676624	39.559251243
	"Massachusetts"	"25"	4955	10859412	45.628621513
	"Michigan"	"26"	7784	15485401	50.266699584
	"Minnesota"	"27"	3092	8632672	35.817415512
	"Mississippi"	"28"	1878	4571404	41.081470813
	"Missouri"	"29"	4923	9429904	52.206257879
	"Montana"	"30"	976	1578906	61.814952885
	"Nebraska"	"31"	920	2852846	32.248498517
	"Nevada"	"32"	2771	4491297	61.697099969
	"New Hampshire"	"33"	1209	2168608	55.750047957
	"New Jersey"	"34"	5192	14419698	36.006301935
	"New Mexico"	"35"	2612	3185922	81.985685776
	"New York"	"36"	10584	31791858	33.291542759
	"North Carolina"	"37"	6536	15520650	42.111638366
	"North Dakota"	"38"	423	1094154	38.660005813
	"Ohio"	"39"	10128	18183614	55.698498659
	"Oklahoma"	"40"	3790	5883708	64.415161323
	"Oregon"	"41"	3240	6303194	51.402511171
	"Pennsylvania"	"42"	10677	20165169	52.947733788
	"Rhode Island"	"44"	1002	1670528	59.981035936
	"South Carolina"	"45"	3319	7446873	44.569042604
	"South Dakota"	"46"	500	1276015	39.184492345
	"Tennessee"	"47"	5801	10279057	56.435137970
	"Texas"	"48"	13659	41272103	33.094993972
	"Utah"	"49"	2835	4167384	68.028288250
	"Vermont"	"50"	467	1003029	46.558972871
	"Virginia"	"51"	4778	13385621	35.695019305
	"Washington"	"53"	5100	11291322	45.167430350
	"West Virginia"	"54"	2484	2940011	84.489479801
	"Wisconsin"	"55"	4056	9074442	44.696963185
	"Wyoming"	"56"	596	921740	64.660316358
"Total"			219337	499627990	43.900062525
