CNTY,FIPS,MortalityRate2014
"Lonoke County, Arkansas",05085,77.36
"Madison County, Arkansas",05087,69.9
"Marion County, Arkansas",05089,64.67
"Miller County, Arkansas",05091,69.21
"Mississippi County, Arkansas",05093,91.03
"Monroe County, Arkansas",05095,60.06
"Montgomery County, Arkansas",05097,77.61
"Nevada County, Arkansas",05099,68.2
"Newton County, Arkansas",05101,54.58
"Ouachita County, Arkansas",05103,68.89
"Perry County, Arkansas",05105,81.22
"Phillips County, Arkansas",05107,80.14
"Pike County, Arkansas",05109,92.3
"Poinsett County, Arkansas",05111,111.49
"Polk County, Arkansas",05113,93.83
"Pope County, Arkansas",05115,79.44
"Prairie County, Arkansas",05117,71.9
"Pulaski County, Arkansas",05119,56.71
"Randolph County, Arkansas",05121,76.81
"Saint Francis County, Arkansas",05123,73.06
"Saline County, Arkansas",05125,61.41
"Scott County, Arkansas",05127,61.96
"Searcy County, Arkansas",05129,62.11
"Sebastian County, Arkansas",05131,72.14
"Sevier County, Arkansas",05133,90.2
"Sharp County, Arkansas",05135,72.64
"Stone County, Arkansas",05137,81.21
"Union County, Arkansas",05139,83.33
"Van Buren County, Arkansas",05141,70.75
"Washington County, Arkansas",05143,63.34
"White County, Arkansas",05145,78.72
"Woodruff County, Arkansas",05147,87.06
"Yell County, Arkansas",05149,84.88
California,06000,41.94
"Alameda County, California",06001,36.12
"Alpine County, California",06003,42.85
"Amador County, California",06005,48.36
"Butte County, California",06007,64.86
"Calaveras County, California",06009,49.62
"Colusa County, California",06011,55.28
"Contra Costa County, California",06013,40.34
"Del Norte County, California",06015,75.02
"El Dorado County, California",06017,46.03
"Fresno County, California",06019,46.22
"Glenn County, California",06021,65.66
"Humboldt County, California",06023,70.47
"Imperial County, California",06025,32.49
"Inyo County, California",06027,58.6
"Kern County, California",06029,72.71
"Kings County, California",06031,57.59
"Lake County, California",06033,81.48
"Lassen County, California",06035,64.91
"Los Angeles County, California",06037,34.94
"Madera County, California",06039,50.04
"Marin County, California",06041,27.66
"Mariposa County, California",06043,48.62
"Mendocino County, California",06045,58.59
"Merced County, California",06047,53.48
"Modoc County, California",06049,77.17
"Mono County, California",06051,31.52
"Monterey County, California",06053,37.6
"Napa County, California",06055,44.85
"Nevada County, California",06057,47.09
"Orange County, California",06059,35.15
"Placer County, California",06061,42.85
"Plumas County, California",06063,71.37
"Riverside County, California",06065,50.72
"Sacramento County, California",06067,49.15
"San Benito County, California",06069,39.84
"San Bernardino County, California",06071,63.24
"San Diego County, California",06073,38.91
"San Francisco County, California",06075,25.69
"San Joaquin County, California",06077,57.98
"San Luis Obispo County, California",06079,44.23
"San Mateo County, California",06081,30.47
"Santa Barbara County, California",06083,36.34
"Santa Clara County, California",06085,29.68
"Santa Cruz County, California",06087,39.95
"Shasta County, California",06089,84.23
"Sierra County, California",06091,52.96
"Siskiyou County, California",06093,67.66
"Solano County, California",06095,50.48
"Sonoma County, California",06097,42.21
"Stanislaus County, California",06099,54.93
"Sutter County, California",06101,60.9
"Tehama County, California",06103,76.43
"Trinity County, California",06105,66.33
"Tulare County, California",06107,56.06
"Tuolumne County, California",06109,51.78
"Ventura County, California",06111,39.41
"Yolo County, California",06113,57
"Yuba County, California",06115,88.79
Colorado,08000,58.29
"Adams County, Colorado",08001,57.93
"Alamosa County, Colorado",08003,88.03
"Arapahoe County, Colorado",08005,57.93
"Archuleta County, Colorado",08007,44.94
"Baca County, Colorado",08009,61.84
"Bent County, Colorado",08011,126.75
"Boulder County, Colorado",08013,57.93
"Broomfield County, Colorado",08014,57.93
"Chaffee County, Colorado",08015,46.99
"Cheyenne County, Colorado",08017,85.14
"Clear Creek County, Colorado",08019,48.82
"Conejos County, Colorado",08021,60.36
"Costilla County, Colorado",08023,44.64
"Crowley County, Colorado",08025,112.53
"Custer County, Colorado",08027,44.3
"Delta County, Colorado",08029,60.61
"Denver County, Colorado",08031,57.93
"Dolores County, Colorado",08033,74.39
"Douglas County, Colorado",08035,35.91
"Eagle County, Colorado",08037,24.49
"El Paso County, Colorado",08039,58.05
"Elbert County, Colorado",08041,53.79
"Fremont County, Colorado",08043,76.41
"Garfield County, Colorado",08045,55.09
"Gilpin County, Colorado",08047,47.06
"Grand County, Colorado",08049,34.63
"Gunnison County, Colorado",08051,49.27
"Hinsdale County, Colorado",08053,32.98
"Huerfano County, Colorado",08055,79.66
"Jackson County, Colorado",08057,46.06
"Jefferson County, Colorado",08059,57.93
"Kiowa County, Colorado",08061,94.22
"Kit Carson County, Colorado",08063,78.56
"La Plata County, Colorado",08065,46.87
"Lake County, Colorado",08067,51.46
"Larimer County, Colorado",08069,45.19
"Las Animas County, Colorado",08071,57.77
"Lincoln County, Colorado",08073,72.44
"Logan County, Colorado",08075,63.53
"Mesa County, Colorado",08077,75.87
"Mineral County, Colorado",08079,54.87
"Moffat County, Colorado",08081,80.3
"Montezuma County, Colorado",08083,89.63
"Montrose County, Colorado",08085,64.1
"Morgan County, Colorado",08087,65.04
"Otero County, Colorado",08089,122.1
"Ouray County, Colorado",08091,35.98
"Park County, Colorado",08093,36.95
"Phillips County, Colorado",08095,55.5
"Pitkin County, Colorado",08097,18.39
"Prowers County, Colorado",08099,102.77
"Pueblo County, Colorado",08101,81.37
"Rio Blanco County, Colorado",08103,69.53
"Rio Grande County, Colorado",08105,81.8
"Routt County, Colorado",08107,46.03
"Saguache County, Colorado",08109,62.77
"San Juan County, Colorado",08111,51.38
"San Miguel County, Colorado",08113,35.93
"Sedgwick County, Colorado",08115,74.33
"Summit County, Colorado",08117,14.27
"Teller County, Colorado",08119,43.58
"Washington County, Colorado",08121,71.72
"Weld County, Colorado",08123,57.93
"Yuma County, Colorado",08125,64.26
Connecticut,09000,43.87
"Fairfield County, Connecticut",09001,34.15
"Hartford County, Connecticut",09003,44.55
"Litchfield County, Connecticut",09005,50.32
"Middlesex County, Connecticut",09007,43.06
"New Haven County, Connecticut",09009,45.49
"New London County, Connecticut",09011,55.15
"Tolland County, Connecticut",09013,45.35
"Windham County, Connecticut",09015,63.13
Delaware,10000,51.72
"Kent County, Delaware",10001,62.05
"New Castle County, Delaware",10003,49.38
"Sussex County, Delaware",10005,50.21
District of Columbia,11000,30.21
"District of Columbia, District of Columbia",11001,30.21
Florida,12000,47.83
"Alachua County, Florida",12001,52.85
"Baker County, Florida",12003,97.07
"Bay County, Florida",12005,79.48
"Bradford County, Florida",12007,76.84
"Brevard County, Florida",12009,57.16
"Broward County, Florida",12011,39.77
"Calhoun County, Florida",12013,87.93
"Charlotte County, Florida",12015,46.68
"Citrus County, Florida",12017,74.78
"Clay County, Florida",12019,72.47
"Collier County, Florida",12021,30.13
"Columbia County, Florida",12023,89.46
"DeSoto County, Florida",12027,49.68
"Dixie County, Florida",12029,86.51
"Duval County, Florida",12031,59.14
"Escambia County, Florida",12033,70.16
"Flagler County, Florida",12035,42.3
"Franklin County, Florida",12037,76.47
"Gadsden County, Florida",12039,55.88
"Gilchrist County, Florida",12041,74.86
"Glades County, Florida",12043,44.14
"Gulf County, Florida",12045,80.75
"Hamilton County, Florida",12047,77.5
"Hardee County, Florida",12049,62.7
"Hendry County, Florida",12051,59.17
"Hernando County, Florida",12053,64.16
"Highlands County, Florida",12055,61.6
"Hillsborough County, Florida",12057,52.95
"Holmes County, Florida",12059,101.51
"Indian River County, Florida",12061,41.12
"Jackson County, Florida",12063,66.29
"Jefferson County, Florida",12065,55.63
"Lafayette County, Florida",12067,79.8
"Lake County, Florida",12069,46.09
"Lee County, Florida",12071,40.13
"Leon County, Florida",12073,47.91
"Levy County, Florida",12075,75.89
"Liberty County, Florida",12077,91.93
"Madison County, Florida",12079,61.37
"Manatee County, Florida",12081,40
"Marion County, Florida",12083,57.75
"Martin County, Florida",12085,45.67
"Miami-Dade County, Florida",12086,33.65
"Monroe County, Florida",12087,39.11
"Nassau County, Florida",12089,70.06
"Okaloosa County, Florida",12091,71.16
"Okeechobee County, Florida",12093,76.53
"Orange County, Florida",12095,45.49
"Osceola County, Florida",12097,52.08
"Palm Beach County, Florida",12099,32.77
"Pasco County, Florida",12101,65.69
"Pinellas County, Florida",12103,48.48
"Polk County, Florida",12105,55.88
"Putnam County, Florida",12107,86.99
"Saint Johns County, Florida",12109,48.72
"Saint Lucie County, Florida",12111,52.69
"Santa Rosa County, Florida",12113,74.35
"Sarasota County, Florida",12115,36.05
"Seminole County, Florida",12117,49.57
"Sumter County, Florida",12119,31.34
"Suwannee County, Florida",12121,84.44
"Taylor County, Florida",12123,75.41
"Union County, Florida",12125,103.74
"Volusia County, Florida",12127,63.79
"Wakulla County, Florida",12129,78.4
"Walton County, Florida",12131,65.91
"Washington County, Florida",12133,86.23
Georgia,13000,61.96
"Appling County, Georgia",13001,98.04
"Atkinson County, Georgia",13003,116.44
"Bacon County, Georgia",13005,89.51
"Baker County, Georgia",13007,52.4
"Baldwin County, Georgia",13009,77.43
"Banks County, Georgia",13011,70.41
"Barrow County, Georgia",13013,95.96
"Bartow County, Georgia",13015,80.79
"Ben Hill County, Georgia",13017,87.54
"Berrien County, Georgia",13019,107.89
"Bibb County, Georgia",13021,72.06
"Bleckley County, Georgia",13023,95.58
"Brantley County, Georgia",13025,114.61
"Brooks County, Georgia",13027,68.04
"Bryan County, Georgia",13029,97.4
"Bulloch County, Georgia",13031,68.1
"Burke County, Georgia",13033,68.75
"Butts County, Georgia",13035,89.33
"Calhoun County, Georgia",13037,64.15
"Camden County, Georgia",13039,72.52
"Candler County, Georgia",13043,80.98
"Carroll County, Georgia",13045,80.06
"Catoosa County, Georgia",13047,74.66
"Charlton County, Georgia",13049,87.67
"Chatham County, Georgia",13051,55.6
"Chattahoochee County, Georgia",13053,70.85
"Chattooga County, Georgia",13055,84.93
"Cherokee County, Georgia",13057,56.54
"Clarke County, Georgia",13059,53.73
"Clay County, Georgia",13061,52.07
"Clayton County, Georgia",13063,57.62
"Clinch County, Georgia",13065,87.58
"Cobb County, Georgia",13067,46.8
"Coffee County, Georgia",13069,95.02
"Colquitt County, Georgia",13071,83.35
"Columbia County, Georgia",13073,51.56
"Cook County, Georgia",13075,93.04
"Coweta County, Georgia",13077,68.55
"Crawford County, Georgia",13079,60.19
"Crisp County, Georgia",13081,63.72
"Dade County, Georgia",13083,76.02
"Dawson County, Georgia",13085,59.87
"DeKalb County, Georgia",13087,37.63
"Decatur County, Georgia",13089,75.67
"Dodge County, Georgia",13091,84.38
"Dooly County, Georgia",13093,57.43
"Dougherty County, Georgia",13095,66.83
"Douglas County, Georgia",13097,62.26
"Early County, Georgia",13099,58.13
"Echols County, Georgia",13101,81.6
"Effingham County, Georgia",13103,78.84
"Elbert County, Georgia",13105,71.4
"Emanuel County, Georgia",13107,87.83
"Evans County, Georgia",13109,75.72
"Fannin County, Georgia",13111,74.88
"Fayette County, Georgia",13113,45.46
"Floyd County, Georgia",13115,66.77
"Forsyth County, Georgia",13117,51.46
"Franklin County, Georgia",13119,81.54
"Fulton County, Georgia",13121,40.61
"Gilmer County, Georgia",13123,64.34
"Glascock County, Georgia",13125,71.66
"Glynn County, Georgia",13127,73.67
"Gordon County, Georgia",13129,75.62
"Grady County, Georgia",13131,62.4
"Greene County, Georgia",13133,47.42
"Gwinnett County, Georgia",13135,49.15
"Habersham County, Georgia",13137,68.31
"Hall County, Georgia",13139,61.37
"Hancock County, Georgia",13141,54.46
"Haralson County, Georgia",13143,91.88
"Harris County, Georgia",13145,51.56
"Hart County, Georgia",13147,67.2
"Heard County, Georgia",13149,93.26
"Henry County, Georgia",13151,69.45
"Houston County, Georgia",13153,59.57
"Irwin County, Georgia",13155,79.28
"Jackson County, Georgia",13157,79.56
"Jasper County, Georgia",13159,61.37
"Jeff Davis County, Georgia",13161,98.09
"Jefferson County, Georgia",13163,61.21
"Jenkins County, Georgia",13165,83.47
"Johnson County, Georgia",13167,73.57
"Jones County, Georgia",13169,74.3
"Lamar County, Georgia",13171,81.44
"Lanier County, Georgia",13173,85.54
"Laurens County, Georgia",13175,77.86
"Lee County, Georgia",13177,71.72
"Liberty County, Georgia",13179,71.79
"Lincoln County, Georgia",13181,63.96
"Long County, Georgia",13183,76.79
"Lowndes County, Georgia",13185,75.53
"Lumpkin County, Georgia",13187,82.49
"Macon County, Georgia",13189,60.75
"Madison County, Georgia",13191,93.71
"Marion County, Georgia",13193,71.85
"McDuffie County, Georgia",13195,68.95
"McIntosh County, Georgia",13197,63.14
"Meriwether County, Georgia",13199,56.59
"Miller County, Georgia",13201,66.25
"Mitchell County, Georgia",13205,58.76
"Monroe County, Georgia",13207,52.78
"Montgomery County, Georgia",13209,83.7
"Morgan County, Georgia",13211,49.92
"Murray County, Georgia",13213,98.05
