CNTY,FIPS,MortalityRate2014
"Fulton County, Indiana",18049,80.23
"Gibson County, Indiana",18051,66.31
"Grant County, Indiana",18053,91.85
"Greene County, Indiana",18055,75.52
"Hamilton County, Indiana",18057,48.16
"Hancock County, Indiana",18059,63.88
"Harrison County, Indiana",18061,73.32
"Hendricks County, Indiana",18063,67.14
"Henry County, Indiana",18065,75.51
"Howard County, Indiana",18067,73.42
"Huntington County, Indiana",18069,79.82
"Jackson County, Indiana",18071,79.41
"Jasper County, Indiana",18073,59.47
"Jay County, Indiana",18075,71.65
"Jefferson County, Indiana",18077,89.04
"Jennings County, Indiana",18079,101.4
"Johnson County, Indiana",18081,87.82
"Knox County, Indiana",18083,88.81
"Kosciusko County, Indiana",18085,64.91
"LaGrange County, Indiana",18087,52.99
"LaPorte County, Indiana",18089,65.04
"Lake County, Indiana",18091,59.22
"Lawrence County, Indiana",18093,68.62
"Madison County, Indiana",18095,74.96
"Marion County, Indiana",18097,78.21
"Marshall County, Indiana",18099,69.52
"Martin County, Indiana",18101,73.56
"Miami County, Indiana",18103,57.54
"Monroe County, Indiana",18105,50.95
"Montgomery County, Indiana",18107,68.55
"Morgan County, Indiana",18109,91.42
"Newton County, Indiana",18111,68.53
"Noble County, Indiana",18113,79.94
"Ohio County, Indiana",18115,63.83
"Orange County, Indiana",18117,70.17
"Owen County, Indiana",18119,78.66
"Parke County, Indiana",18121,63.83
"Perry County, Indiana",18123,59.43
"Pike County, Indiana",18125,63.14
"Porter County, Indiana",18127,56.69
"Posey County, Indiana",18129,65.49
"Pulaski County, Indiana",18131,67.44
"Putnam County, Indiana",18133,59.72
"Randolph County, Indiana",18135,64.87
"Ripley County, Indiana",18137,65.93
"Rush County, Indiana",18139,83
"Saint Joseph County, Indiana",18141,62.48
"Scott County, Indiana",18143,101.69
"Shelby County, Indiana",18145,73.6
"Spencer County, Indiana",18147,52.59
"Starke County, Indiana",18149,81.61
"Steuben County, Indiana",18151,62.67
"Sullivan County, Indiana",18153,78.03
"Switzerland County, Indiana",18155,69.77
"Tippecanoe County, Indiana",18157,65.91
"Tipton County, Indiana",18159,63.31
"Union County, Indiana",18161,65.02
"Vanderburgh County, Indiana",18163,74
"Vermillion County, Indiana",18165,76.16
"Vigo County, Indiana",18167,81.53
"Wabash County, Indiana",18169,72.19
"Warren County, Indiana",18171,80.03
"Warrick County, Indiana",18173,60.5
"Washington County, Indiana",18175,84.74
"Wayne County, Indiana",18177,73.53
"Wells County, Indiana",18179,64.83
"White County, Indiana",18181,73.96
"Whitley County, Indiana",18183,71.03
Iowa,19000,57.88
"Adair County, Iowa",19001,47.06
"Adams County, Iowa",19003,51.93
"Allamakee County, Iowa",19005,44.81
"Appanoose County, Iowa",19007,46.88
"Audubon County, Iowa",19009,52.01
"Benton County, Iowa",19011,46.39
"Black Hawk County, Iowa",19013,65.38
"Boone County, Iowa",19015,62.12
"Bremer County, Iowa",19017,37.81
"Buchanan County, Iowa",19019,56.53
"Buena Vista County, Iowa",19021,50.99
"Butler County, Iowa",19023,47.5
"Calhoun County, Iowa",19025,57.95
"Carroll County, Iowa",19027,54.24
"Cass County, Iowa",19029,64.32
"Cedar County, Iowa",19031,45.1
"Cerro Gordo County, Iowa",19033,55.54
"Cherokee County, Iowa",19035,54.09
"Chickasaw County, Iowa",19037,48.66
"Clarke County, Iowa",19039,53.73
"Clay County, Iowa",19041,57.04
"Clayton County, Iowa",19043,47.73
"Clinton County, Iowa",19045,51.26
"Crawford County, Iowa",19047,51.41
"Dallas County, Iowa",19049,52.02
"Davis County, Iowa",19051,48.91
"Decatur County, Iowa",19053,60.2
"Delaware County, Iowa",19055,46.03
"Des Moines County, Iowa",19057,62.02
"Dickinson County, Iowa",19059,44
"Dubuque County, Iowa",19061,52.16
"Emmet County, Iowa",19063,47.62
"Fayette County, Iowa",19065,49.68
"Floyd County, Iowa",19067,51.87
"Franklin County, Iowa",19069,44.89
"Fremont County, Iowa",19071,75.98
"Greene County, Iowa",19073,53.38
"Grundy County, Iowa",19075,42.86
"Guthrie County, Iowa",19077,52.91
"Hamilton County, Iowa",19079,53.31
"Hancock County, Iowa",19081,45.56
"Hardin County, Iowa",19083,45.26
"Harrison County, Iowa",19085,70.31
"Henry County, Iowa",19087,52.53
"Howard County, Iowa",19089,36.3
"Humboldt County, Iowa",19091,54.92
"Ida County, Iowa",19093,53.97
"Iowa County, Iowa",19095,41.45
"Jackson County, Iowa",19097,53.87
"Jasper County, Iowa",19099,54.16
"Jefferson County, Iowa",19101,45.1
"Johnson County, Iowa",19103,42.53
"Jones County, Iowa",19105,52.11
"Keokuk County, Iowa",19107,54.55
"Kossuth County, Iowa",19109,46.47
"Lee County, Iowa",19111,68.27
"Linn County, Iowa",19113,61.25
"Louisa County, Iowa",19115,57.64
"Lucas County, Iowa",19117,47.57
"Lyon County, Iowa",19119,39.35
"Madison County, Iowa",19121,54.49
"Mahaska County, Iowa",19123,46.26
"Marion County, Iowa",19125,48.71
"Marshall County, Iowa",19127,84.58
"Mills County, Iowa",19129,66.29
"Mitchell County, Iowa",19131,31.37
"Monona County, Iowa",19133,67.76
"Monroe County, Iowa",19135,64.71
"Montgomery County, Iowa",19137,82.43
"Muscatine County, Iowa",19139,60.58
"O'Brien County, Iowa",19141,50.16
"Osceola County, Iowa",19143,32.86
"Page County, Iowa",19145,70.36
"Palo Alto County, Iowa",19147,57.91
"Plymouth County, Iowa",19149,42.7
"Pocahontas County, Iowa",19151,55.96
"Polk County, Iowa",19153,66.41
"Pottawattamie County, Iowa",19155,82.43
"Poweshiek County, Iowa",19157,62.44
"Ringgold County, Iowa",19159,49.94
"Sac County, Iowa",19161,56.17
"Scott County, Iowa",19163,62.91
"Shelby County, Iowa",19165,44.34
"Sioux County, Iowa",19167,36.08
"Story County, Iowa",19169,41.94
"Tama County, Iowa",19171,54.68
"Taylor County, Iowa",19173,61.6
"Union County, Iowa",19175,62.34
"Van Buren County, Iowa",19177,52.18
"Wapello County, Iowa",19179,66.71
"Warren County, Iowa",19181,66.03
"Washington County, Iowa",19183,54.43
"Wayne County, Iowa",19185,54.91
"Webster County, Iowa",19187,91.33
"Winnebago County, Iowa",19189,37.48
"Winneshiek County, Iowa",19191,41.79
"Woodbury County, Iowa",19193,78.22
"Worth County, Iowa",19195,42.36
"Wright County, Iowa",19197,50.99
Kansas,20000,63.3
"Allen County, Kansas",20001,70.08
"Anderson County, Kansas",20003,59.51
"Atchison County, Kansas",20005,75.62
"Barber County, Kansas",20007,70.5
"Barton County, Kansas",20009,59.56
"Bourbon County, Kansas",20011,68.53
"Brown County, Kansas",20013,66.55
"Butler County, Kansas",20015,81.39
"Chase County, Kansas",20017,62.33
"Chautauqua County, Kansas",20019,58.36
"Cherokee County, Kansas",20021,92.2
"Cheyenne County, Kansas",20023,51.05
"Clark County, Kansas",20025,57.38
"Clay County, Kansas",20027,64.56
"Cloud County, Kansas",20029,63.63
"Coffey County, Kansas",20031,67.15
"Comanche County, Kansas",20033,59.61
"Cowley County, Kansas",20035,74.85
"Crawford County, Kansas",20037,73.2
"Decatur County, Kansas",20039,61.22
"Dickinson County, Kansas",20041,67.87
"Doniphan County, Kansas",20043,71.85
"Douglas County, Kansas",20045,55.98
"Edwards County, Kansas",20047,64.91
"Elk County, Kansas",20049,55.98
"Ellis County, Kansas",20051,61.19
"Ellsworth County, Kansas",20053,56.48
"Finney County, Kansas",20055,54.63
"Ford County, Kansas",20057,69.52
"Franklin County, Kansas",20059,75.83
"Geary County, Kansas",20061,64.27
"Gove County, Kansas",20063,61.46
"Graham County, Kansas",20065,59.03
"Grant County, Kansas",20067,61.1
"Gray County, Kansas",20069,63.75
"Greeley County, Kansas",20071,96.46
"Greenwood County, Kansas",20073,68.56
"Hamilton County, Kansas",20075,64.31
"Harper County, Kansas",20077,70.28
"Harvey County, Kansas",20079,49.98
"Haskell County, Kansas",20081,56.95
"Hodgeman County, Kansas",20083,54.15
"Jackson County, Kansas",20085,64.95
"Jefferson County, Kansas",20087,62.61
"Jewell County, Kansas",20089,60.7
"Johnson County, Kansas",20091,41.79
"Kearny County, Kansas",20093,76.59
"Kingman County, Kansas",20095,55.45
"Kiowa County, Kansas",20097,62.94
"Labette County, Kansas",20099,78.52
"Lane County, Kansas",20101,80.58
"Leavenworth County, Kansas",20103,63.51
"Lincoln County, Kansas",20105,53.85
"Linn County, Kansas",20107,58.79
"Logan County, Kansas",20109,77.05
"Lyon County, Kansas",20111,61.26
"Marion County, Kansas",20113,51.29
"Marshall County, Kansas",20115,56.47
"McPherson County, Kansas",20117,54.16
"Meade County, Kansas",20119,62.96
"Miami County, Kansas",20121,62.4
"Mitchell County, Kansas",20123,62.8
"Montgomery County, Kansas",20125,70.64
"Morris County, Kansas",20127,54.35
"Morton County, Kansas",20129,61.13
"Nemaha County, Kansas",20131,47.31
"Neosho County, Kansas",20133,68.31
"Ness County, Kansas",20135,54.88
"Norton County, Kansas",20137,56.17
"Osage County, Kansas",20139,67.44
"Osborne County, Kansas",20141,53.5
"Ottawa County, Kansas",20143,67.25
"Pawnee County, Kansas",20145,59.55
"Phillips County, Kansas",20147,58.7
"Pottawatomie County, Kansas",20149,54.92
"Pratt County, Kansas",20151,71.16
"Rawlins County, Kansas",20153,48.75
"Reno County, Kansas",20155,79.7
"Republic County, Kansas",20157,55.14
"Rice County, Kansas",20159,66.34
"Riley County, Kansas",20161,58.38
"Rooks County, Kansas",20163,64.1
"Rush County, Kansas",20165,58.8
"Russell County, Kansas",20167,59.6
"Saline County, Kansas",20169,76.66
"Scott County, Kansas",20171,87.52
"Sedgwick County, Kansas",20173,73.22
"Seward County, Kansas",20175,66.25
"Shawnee County, Kansas",20177,71.4
"Sheridan County, Kansas",20179,55.98
"Sherman County, Kansas",20181,75.89
"Smith County, Kansas",20183,52.3
"Stafford County, Kansas",20185,66.22
"Stanton County, Kansas",20187,60.77
"Stevens County, Kansas",20189,72.06
"Sumner County, Kansas",20191,66.98
"Thomas County, Kansas",20193,74.88
"Trego County, Kansas",20195,66.87
"Wabaunsee County, Kansas",20197,66.14
"Wallace County, Kansas",20199,83.77
"Washington County, Kansas",20201,53.06
"Wichita County, Kansas",20203,67.82
"Wilson County, Kansas",20205,87.08
"Woodson County, Kansas",20207,71.3
"Wyandotte County, Kansas",20209,68.41
Kentucky,21000,78.1
"Adair County, Kentucky",21001,65.02
"Allen County, Kentucky",21003,72.5
"Anderson County, Kentucky",21005,78.96
"Ballard County, Kentucky",21007,84.36
"Barren County, Kentucky",21009,75.81
"Bath County, Kentucky",21011,93.66
"Bell County, Kentucky",21013,93.13
"Boone County, Kentucky",21015,62.32
"Bourbon County, Kentucky",21017,73.2
"Boyd County, Kentucky",21019,73.14
"Boyle County, Kentucky",21021,71.39
"Bracken County, Kentucky",21023,111.6
"Breathitt County, Kentucky",21025,139.73
"Breckinridge County, Kentucky",21027,71.99
"Bullitt County, Kentucky",21029,74.76
"Butler County, Kentucky",21031,67.85
"Caldwell County, Kentucky",21033,73.8
"Calloway County, Kentucky",21035,78.23
"Campbell County, Kentucky",21037,59.96
"Carlisle County, Kentucky",21039,74.63
"Carroll County, Kentucky",21041,97.65
"Carter County, Kentucky",21043,86.63
"Casey County, Kentucky",21045,88.34
"Christian County, Kentucky",21047,95.96
"Clark County, Kentucky",21049,69.94
"Clay County, Kentucky",21051,103.47
"Clinton County, Kentucky",21053,89.06
"Crittenden County, Kentucky",21055,77.85
"Cumberland County, Kentucky",21057,71.66
"Daviess County, Kentucky",21059,65.06
"Edmonson County, Kentucky",21061,71.08
"Elliott County, Kentucky",21063,102.83
"Estill County, Kentucky",21065,80.61
"Fayette County, Kentucky",21067,58.31
"Fleming County, Kentucky",21069,88.83
"Floyd County, Kentucky",21071,130.92
"Franklin County, Kentucky",21073,77.69
"Fulton County, Kentucky",21075,89.33
"Gallatin County, Kentucky",21077,96.07
"Garrard County, Kentucky",21079,63.03
"Grant County, Kentucky",21081,90.24
"Graves County, Kentucky",21083,102.84
"Grayson County, Kentucky",21085,83.43
"Green County, Kentucky",21087,65.76
"Greenup County, Kentucky",21089,79.57
"Hancock County, Kentucky",21091,64.8
"Hardin County, Kentucky",21093,70.77
"Harlan County, Kentucky",21095,133.31
"Harrison County, Kentucky",21097,73.35
"Hart County, Kentucky",21099,89.31
"Henderson County, Kentucky",21101,79.87
"Henry County, Kentucky",21103,79.13
"Hickman County, Kentucky",21105,61.89
"Hopkins County, Kentucky",21107,88.44
"Jackson County, Kentucky",21109,89.76
"Jefferson County, Kentucky",21111,66.47
"Jessamine County, Kentucky",21113,67.89
"Johnson County, Kentucky",21115,113.49
"Kenton County, Kentucky",21117,74.03
"Knott County, Kentucky",21119,100.02
"Knox County, Kentucky",21121,94
"Larue County, Kentucky",21123,73.76
"Laurel County, Kentucky",21125,80.93
"Lawrence County, Kentucky",21127,115.3
"Lee County, Kentucky",21129,128.79
"Leslie County, Kentucky",21131,146.18
"Letcher County, Kentucky",21133,120.86
"Lewis County, Kentucky",21135,111.65
"Lincoln County, Kentucky",21137,100.01
"Livingston County, Kentucky",21139,84.82
"Logan County, Kentucky",21141,83.97
"Lyon County, Kentucky",21143,64.68
"Madison County, Kentucky",21145,73.55
"Magoffin County, Kentucky",21147,160.97
"Marion County, Kentucky",21149,77.58
"Marshall County, Kentucky",21151,84.73
"Martin County, Kentucky",21153,113.34
"Mason County, Kentucky",21155,96.59
"McCracken County, Kentucky",21157,77.34
"McCreary County, Kentucky",21159,130.8
"McLean County, Kentucky",21161,74.66
"Meade County, Kentucky",21163,78.43
"Menifee County, Kentucky",21165,83.2
"Mercer County, Kentucky",21167,87.19
"Metcalfe County, Kentucky",21169,111.18
"Monroe County, Kentucky",21171,73.79
"Montgomery County, Kentucky",21173,67.94
"Morgan County, Kentucky",21175,90.31
"Muhlenberg County, Kentucky",21177,75.93
"Nelson County, Kentucky",21179,73.24
"Nicholas County, Kentucky",21181,116.79
"Ohio County, Kentucky",21183,66.97
"Oldham County, Kentucky",21185,57.37
"Owen County, Kentucky",21187,71.32
"Owsley County, Kentucky",21189,142.64
"Pendleton County, Kentucky",21191,85.7
"Perry County, Kentucky",21193,136.36
"Pike County, Kentucky",21195,118.69
"Powell County, Kentucky",21197,116.7
"Pulaski County, Kentucky",21199,89.32
"Robertson County, Kentucky",21201,78.8
"Rockcastle County, Kentucky",21203,92.91
"Rowan County, Kentucky",21205,91.49
"Russell County, Kentucky",21207,88.89
"Scott County, Kentucky",21209,64.4
"Shelby County, Kentucky",21211,57.06
"Simpson County, Kentucky",21213,61.44
"Spencer County, Kentucky",21215,69.63
"Taylor County, Kentucky",21217,64.54
"Todd County, Kentucky",21219,92.63
"Trigg County, Kentucky",21221,79.44
"Trimble County, Kentucky",21223,83.02
"Union County, Kentucky",21225,84.42
"Warren County, Kentucky",21227,67.22
"Washington County, Kentucky",21229,62.72
"Wayne County, Kentucky",21231,90
"Webster County, Kentucky",21233,99.78
"Whitley County, Kentucky",21235,102.65
"Wolfe County, Kentucky",21237,148.88
"Woodford County, Kentucky",21239,60.24
Louisiana,22000,58.99
"Acadia Parish, Louisiana",22001,56.09
"Allen Parish, Louisiana",22003,60.15
"Ascension Parish, Louisiana",22005,60.47
"Assumption Parish, Louisiana",22007,43
"Avoyelles Parish, Louisiana",22009,64.46
"Beauregard Parish, Louisiana",22011,62.61
"Bienville Parish, Louisiana",22013,67
"Bossier Parish, Louisiana",22015,71.61
"Caddo Parish, Louisiana",22017,69.7
"Calcasieu Parish, Louisiana",22019,70.63
"Caldwell Parish, Louisiana",22021,85.12
"Cameron Parish, Louisiana",22023,45.4
"Catahoula Parish, Louisiana",22025,65.78
"Claiborne Parish, Louisiana",22027,49.08
"Concordia Parish, Louisiana",22029,66.65
"De Soto Parish, Louisiana",22031,66.46
"East Baton Rouge Parish, Louisiana",22033,49.5
"East Carroll Parish, Louisiana",22035,71.42
"East Feliciana Parish, Louisiana",22037,79.21
"Evangeline Parish, Louisiana",22039,64.93
"Franklin Parish, Louisiana",22041,51.62
"Grant Parish, Louisiana",22043,85.39
"Iberia Parish, Louisiana",22045,54.43
"Iberville Parish, Louisiana",22047,90.12
"Jackson Parish, Louisiana",22049,59.97
"Jefferson Davis Parish, Louisiana",22051,62.67
"Jefferson Parish, Louisiana",22053,53.68
"LaSalle Parish, Louisiana",22055,73.81
"Lafayette Parish, Louisiana",22057,44.88
"Lafourche Parish, Louisiana",22059,47.23
"Lincoln Parish, Louisiana",22061,53.04
"Livingston Parish, Louisiana",22063,82.74
"Madison Parish, Louisiana",22065,65.47
"Morehouse Parish, Louisiana",22067,71.8
"Natchitoches Parish, Louisiana",22069,58.23
"Orleans Parish, Louisiana",22071,39.42
"Ouachita Parish, Louisiana",22073,69.01
"Plaquemines Parish, Louisiana",22075,55.71
"Pointe Coupee Parish, Louisiana",22077,43.87
"Rapides Parish, Louisiana",22079,65.18
"Red River Parish, Louisiana",22081,83.61
"Richland Parish, Louisiana",22083,76.78
"Sabine Parish, Louisiana",22085,57.74
"Saint Bernard Parish, Louisiana",22087,62.9
"Saint Charles Parish, Louisiana",22089,49.11
"Saint Helena Parish, Louisiana",22091,51.77
"Saint James Parish, Louisiana",22093,36.38
"Saint John the Baptist Parish, Louisiana",22095,47.73
"Saint Landry Parish, Louisiana",22097,58.73
"Saint Martin Parish, Louisiana",22099,56.28
"Saint Mary Parish, Louisiana",22101,63.58
"Saint Tammany Parish, Louisiana",22103,59.64
"Tangipahoa Parish, Louisiana",22105,66.85
"Tensas Parish, Louisiana",22107,60.34
"Terrebonne Parish, Louisiana",22109,64.62
"Union Parish, Louisiana",22111,64.66
"Vermilion Parish, Louisiana",22113,40.14
"Vernon Parish, Louisiana",22115,74.6
"Washington Parish, Louisiana",22117,73.4
"Webster Parish, Louisiana",22119,77.71
"West Baton Rouge Parish, Louisiana",22121,60.56
"West Carroll Parish, Louisiana",22123,82.71
"West Feliciana Parish, Louisiana",22125,55.7
"Winn Parish, Louisiana",22127,73.7
Maine,23000,61.25
"Androscoggin County, Maine",23001,75.54
"Aroostook County, Maine",23003,64.11
"Cumberland County, Maine",23005,52.48
"Franklin County, Maine",23007,66.07
"Hancock County, Maine",23009,47.53
"Kennebec County, Maine",23011,67.18
"Knox County, Maine",23013,51.54
"Lincoln County, Maine",23015,54.86
"Oxford County, Maine",23017,79.59
"Penobscot County, Maine",23019,67.83
"Piscataquis County, Maine",23021,71.47
"Sagadahoc County, Maine",23023,66.45
"Somerset County, Maine",23025,76.42
"Waldo County, Maine",23027,57.96
"Washington County, Maine",23029,67.84
"York County, Maine",23031,52.11
Maryland,24000,41.37
"Allegany County, Maryland",24001,61.75
"Anne Arundel County, Maryland",24003,47.47
"Baltimore City, Maryland",24005,49.74
"Baltimore County, Maryland",24009,40.43
"Calvert County, Maryland",24011,52.51
"Caroline County, Maryland",24013,68.71
"Carroll County, Maryland",24015,58.31
"Cecil County, Maryland",24017,74.01
"Charles County, Maryland",24019,47.54
"Dorchester County, Maryland",24021,52.45
"Frederick County, Maryland",24023,45.78
"Garrett County, Maryland",24025,59.21
"Harford County, Maryland",24027,47.37
"Howard County, Maryland",24029,28.89
"Kent County, Maryland",24031,47.14
"Montgomery County, Maryland",24033,26.31
"Prince George's County, Maryland",24035,26.31
"Queen Anne's County, Maryland",24037,51.98
"Saint Mary's County, Maryland",24039,53.16
"Somerset County, Maryland",24041,51.15
"Talbot County, Maryland",24043,42.37
"Washington County, Maryland",24045,65.56
"Wicomico County, Maryland",24047,56.52
"Worcester County, Maryland",24510,41.37
Massachusetts,25000,44.17
"Barnstable County, Massachusetts",25001,42.06
"Berkshire County, Massachusetts",25003,52.94
"Bristol County, Massachusetts",25005,48.88
"Dukes County, Massachusetts",25007,37.67
"Essex County, Massachusetts",25009,44.01
"Franklin County, Massachusetts",25011,54.97
"Hampden County, Massachusetts",25013,49.07
"Hampshire County, Massachusetts",25015,46.45
"Middlesex County, Massachusetts",25017,36.99
"Nantucket County, Massachusetts",25019,38.32
"Norfolk County, Massachusetts",25021,39.61
"Plymouth County, Massachusetts",25023,50.92
"Suffolk County, Massachusetts",25025,39.94
"Worcester County, Massachusetts",25027,51.87
Michigan,26000,56.32
"Alcona County, Michigan",26001,63.82
"Alger County, Michigan",26003,54.09
"Allegan County, Michigan",26005,60.2
"Alpena County, Michigan",26007,62.59
"Antrim County, Michigan",26009,53.34
"Arenac County, Michigan",26011,68.97
"Baraga County, Michigan",26013,45.1
"Barry County, Michigan",26015,64.66
"Bay County, Michigan",26017,62.01
"Benzie County, Michigan",26019,58.26
"Berrien County, Michigan",26021,57.69
"Branch County, Michigan",26023,72.27
"Calhoun County, Michigan",26025,72.15
"Cass County, Michigan",26027,63.1
"Charlevoix County, Michigan",26029,58.03
"Cheboygan County, Michigan",26031,66.63
"Chippewa County, Michigan",26033,59.74
"Clare County, Michigan",26035,82.62
"Clinton County, Michigan",26037,44.69
"Crawford County, Michigan",26039,77.09
"Delta County, Michigan",26041,53.82
"Dickinson County, Michigan",26043,47.27
"Eaton County, Michigan",26045,57.52
"Emmet County, Michigan",26047,62.56
"Genesee County, Michigan",26049,66.89
"Gladwin County, Michigan",26051,67.88
"Gogebic County, Michigan",26053,47.94
"Grand Traverse County, Michigan",26055,52.8
"Gratiot County, Michigan",26057,61.87
"Hillsdale County, Michigan",26059,67.94
"Houghton County, Michigan",26061,46.62
"Huron County, Michigan",26063,51.66
"Ingham County, Michigan",26065,56.85
"Ionia County, Michigan",26067,70.34
"Iosco County, Michigan",26069,77.13
"Iron County, Michigan",26071,50.27
"Isabella County, Michigan",26073,59.71
"Jackson County, Michigan",26075,68.86
"Kalamazoo County, Michigan",26077,59.09
"Kalkaska County, Michigan",26079,64.73
"Kent County, Michigan",26081,47.46
"Keweenaw County, Michigan",26083,40.98
"Lake County, Michigan",26085,66.25
"Lapeer County, Michigan",26087,63.13
"Leelanau County, Michigan",26089,40.26
"Lenawee County, Michigan",26091,74.63
"Livingston County, Michigan",26093,51.87
"Luce County, Michigan",26095,64.98
"Mackinac County, Michigan",26097,60.4
"Macomb County, Michigan",26099,53.07
"Manistee County, Michigan",26101,54.14
"Marquette County, Michigan",26103,58.21
"Mason County, Michigan",26105,65.11
"Mecosta County, Michigan",26107,53.52
"Menominee County, Michigan",26109,47.22
"Midland County, Michigan",26111,55.46
"Missaukee County, Michigan",26113,67.85
"Monroe County, Michigan",26115,59.96
"Montcalm County, Michigan",26117,71.92
"Montmorency County, Michigan",26119,77.29
"Muskegon County, Michigan",26121,64.39
"Newaygo County, Michigan",26123,73.35
"Oakland County, Michigan",26125,46.33
"Oceana County, Michigan",26127,59.4
"Ogemaw County, Michigan",26129,96.38
"Ontonagon County, Michigan",26131,42.08
"Osceola County, Michigan",26133,72.85
"Oscoda County, Michigan",26135,70.65
"Otsego County, Michigan",26137,69.19
"Ottawa County, Michigan",26139,39.46
"Presque Isle County, Michigan",26141,53.29
"Roscommon County, Michigan",26143,79.48
"Saginaw County, Michigan",26145,64.55
"Saint Clair County, Michigan",26147,68.96
"Saint Joseph County, Michigan",26149,66.1
"Sanilac County, Michigan",26151,63.75
"Schoolcraft County, Michigan",26153,60.31
"Shiawassee County, Michigan",26155,68.18
"Tuscola County, Michigan",26157,62.43
"Van Buren County, Michigan",26159,66.47
"Washtenaw County, Michigan",26161,41.44
"Wayne County, Michigan",26163,53.48
"Wexford County, Michigan",26165,74.71
Minnesota,27000,47.34
"Aitkin County, Minnesota",27001,43.15
"Anoka County, Minnesota",27003,50.28
"Becker County, Minnesota",27005,52.48
"Beltrami County, Minnesota",27007,64.54
"Benton County, Minnesota",27009,48.21
"Big Stone County, Minnesota",27011,40.07
"Blue Earth County, Minnesota",27013,48.28
"Brown County, Minnesota",27015,44.63
"Carlton County, Minnesota",27017,56.61
"Carver County, Minnesota",27019,39.58
"Cass County, Minnesota",27021,54.58
"Chippewa County, Minnesota",27023,51.51
"Chisago County, Minnesota",27025,49.45
"Clay County, Minnesota",27027,46.25
"Clearwater County, Minnesota",27029,58.86
"Cook County, Minnesota",27031,35.54
"Cottonwood County, Minnesota",27033,34.3
"Crow Wing County, Minnesota",27035,49.09
"Dakota County, Minnesota",27037,41.18
"Dodge County, Minnesota",27039,49.93
"Douglas County, Minnesota",27041,42.01
"Faribault County, Minnesota",27043,51.91
"Fillmore County, Minnesota",27045,46.26
"Freeborn County, Minnesota",27047,46.91
"Goodhue County, Minnesota",27049,47.84
"Grant County, Minnesota",27051,44.44
"Hennepin County, Minnesota",27053,45.99
"Houston County, Minnesota",27055,42.95
"Hubbard County, Minnesota",27057,50.6
"Isanti County, Minnesota",27059,50.33
"Itasca County, Minnesota",27061,53
"Jackson County, Minnesota",27063,46.67
"Kanabec County, Minnesota",27065,50.7
"Kandiyohi County, Minnesota",27067,43.08
"Kittson County, Minnesota",27069,49.13
"Koochiching County, Minnesota",27071,51.4
"Lac qui Parle County, Minnesota",27073,35.03
"Lake County, Minnesota",27075,50.28
"Lake of the Woods County, Minnesota",27077,43.28
"Le Sueur County, Minnesota",27079,37.79
"Lincoln County, Minnesota",27081,45.46
"Lyon County, Minnesota",27083,52.44
"Mahnomen County, Minnesota",27085,57.82
"Marshall County, Minnesota",27087,38.59
"Martin County, Minnesota",27089,43.17
"McLeod County, Minnesota",27091,42.82
"Meeker County, Minnesota",27093,56.93
"Mille Lacs County, Minnesota",27095,62.56
"Morrison County, Minnesota",27097,45.97
"Mower County, Minnesota",27099,45.02
"Murray County, Minnesota",27101,47.8
"Nicollet County, Minnesota",27103,41.35
"Nobles County, Minnesota",27105,47.38
"Norman County, Minnesota",27107,47.26
"Olmsted County, Minnesota",27109,41.58
"Otter Tail County, Minnesota",27111,47.71
"Pennington County, Minnesota",27113,53.43
"Pine County, Minnesota",27115,55.93
"Pipestone County, Minnesota",27117,53.1
"Polk County, Minnesota",27119,52.52
"Pope County, Minnesota",27121,43.43
"Ramsey County, Minnesota",27123,50.17
"Red Lake County, Minnesota",27125,39.46
"Redwood County, Minnesota",27127,49.4
"Renville County, Minnesota",27129,47.49
"Rice County, Minnesota",27131,50.62
"Rock County, Minnesota",27133,55.59
"Roseau County, Minnesota",27135,37.61
"Saint Louis County, Minnesota",27137,56.65
"Scott County, Minnesota",27139,44.15
"Sherburne County, Minnesota",27141,50.86
"Sibley County, Minnesota",27143,40.62
"Stearns County, Minnesota",27145,42.75
"Steele County, Minnesota",27147,41.86
"Stevens County, Minnesota",27149,35.6
"Swift County, Minnesota",27151,43.27
"Todd County, Minnesota",27153,47.2
"Traverse County, Minnesota",27155,29.54
"Wabasha County, Minnesota",27157,47.37
"Wadena County, Minnesota",27159,53.21
"Waseca County, Minnesota",27161,40.79
"Washington County, Minnesota",27163,47.07
"Watonwan County, Minnesota",27165,41.84
"Wilkin County, Minnesota",27167,54.4
"Winona County, Minnesota",27169,46.1
"Wright County, Minnesota",27171,52.1
"Yellow Medicine County, Minnesota",27173,44.53
Mississippi,28000,70.54
"Adams County, Mississippi",28001,68.36
"Alcorn County, Mississippi",28003,86.3
"Amite County, Mississippi",28005,50.38
"Attala County, Mississippi",28007,69.67
"Benton County, Mississippi",28009,53.67
"Bolivar County, Mississippi",28011,67.32
"Calhoun County, Mississippi",28013,68.38
"Carroll County, Mississippi",28015,61.31
"Chickasaw County, Mississippi",28017,69.07
"Choctaw County, Mississippi",28019,66.45
"Claiborne County, Mississippi",28021,69.42
"Clarke County, Mississippi",28023,67.94
"Clay County, Mississippi",28025,52.28
"Coahoma County, Mississippi",28027,71.77
"Copiah County, Mississippi",28029,65.64
"Covington County, Mississippi",28031,103.63
"DeSoto County, Mississippi",28033,64.28
"Forrest County, Mississippi",28035,83.97
"Franklin County, Mississippi",28037,62.25
"George County, Mississippi",28039,118.31
