"Notes"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	9475	7101098	133.43007
	"Alaska"	"02"	888	1075936	82.53279
	"Arizona"	"04"	8230	8624316	95.42786
	"Arkansas"	"05"	5936	4235191	140.15897
	"California"	"06"	48723	56104425	86.84342
	"Colorado"	"08"	5938	7525689	78.90307
	"Connecticut"	"09"	5583	5621396	99.31697
	"Delaware"	"10"	1578	1316986	119.81904
	"District of Columbia"	"11"	1168	956180	122.15273
	"Florida"	"12"	32615	27078131	120.44775
	"Georgia"	"13"	15582	14152071	110.10403
	"Hawaii"	"15"	1934	2028472	95.34270
	"Idaho"	"16"	1891	2090706	90.44792
	"Illinois"	"17"	21273	19849279	107.17266
	"Indiana"	"18"	11430	9714415	117.66020
	"Iowa"	"19"	4878	4456222	109.46492
	"Kansas"	"20"	4414	4131532	106.83688
	"Kentucky"	"21"	9043	6638562	136.21926
	"Louisiana"	"22"	9469	7001376	135.24484
	"Maine"	"23"	2637	2140701	123.18395
	"Maryland"	"24"	9783	9074026	107.81322
	"Massachusetts"	"25"	10646	10392336	102.44088
	"Michigan"	"26"	17945	15799843	113.57708
	"Minnesota"	"27"	7313	8034169	91.02373
	"Mississippi"	"28"	6244	4376767	142.66238
	"Missouri"	"29"	11024	8933431	123.40164
	"Montana"	"30"	1470	1449470	101.41638
	"Nebraska"	"31"	2499	2643048	94.54993
	"Nevada"	"32"	3958	3832405	103.27718
	"New Hampshire"	"33"	2221	2122454	104.64302
	"New Jersey"	"34"	14470	14008462	103.29471
	"New Mexico"	"35"	2777	2913679	95.30906
	"New York"	"36"	31693	30767963	103.00649
	"North Carolina"	"37"	16071	13782148	116.60737
	"North Dakota"	"38"	902	947849	95.16284
	"Ohio"	"39"	21786	17985127	121.13342
	"Oklahoma"	"40"	6939	5385798	128.83885
	"Oregon"	"41"	6029	5750431	104.84432
	"Pennsylvania"	"42"	23176	19426873	119.29866
	"Rhode Island"	"44"	1778	1685407	105.49381
	"South Carolina"	"45"	8754	6681832	131.01197
	"South Dakota"	"46"	1223	1140259	107.25633
	"Tennessee"	"47"	12686	9503645	133.48563
	"Texas"	"48"	33695	34692035	97.12604
	"Utah"	"49"	2275	3350074	67.90895
	"Vermont"	"50"	1043	1004004	103.88405
	"Virginia"	"51"	13178	12225746	107.78892
	"Washington"	"53"	9549	10027899	95.22433
	"West Virginia"	"54"	4122	2914532	141.42922
	"Wisconsin"	"55"	8676	8634575	100.47976
	"Wyoming"	"56"	819	801580	102.17321
"Total"			497429	462130551	107.63820
