"Notes"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	10286	7526262	136.66811
	"Alaska"	"02"	1043	1178778	88.48146
	"Arizona"	"04"	8922	9764939	91.36770
	"Arkansas"	"05"	6123	4505554	135.89894
	"California"	"06"	51051	59455873	85.86368
	"Colorado"	"08"	6670	8311680	80.24852
	"Connecticut"	"09"	5471	5770126	94.81595
	"Delaware"	"10"	1712	1418294	120.70840
	"District of Columbia"	"11"	1123	1040738	107.90420
	"Florida"	"12"	34332	29449897	116.57766
	"Georgia"	"13"	16913	15607318	108.36583
	"Hawaii"	"15"	2108	2191173	96.20418
	"Idaho"	"16"	2164	2370448	91.29076
	"Illinois"	"17"	21685	20543595	105.55601
	"Indiana"	"18"	12429	10157735	122.35996
	"Iowa"	"19"	5155	4678122	110.19379
	"Kansas"	"20"	4735	4383218	108.02566
	"Kentucky"	"21"	9963	6975971	142.81883
	"Louisiana"	"22"	9650	7145421	135.05152
	"Maine"	"23"	2731	2180381	125.25334
	"Maryland"	"24"	9909	9475467	104.57532
	"Massachusetts"	"25"	10758	10657160	100.94622
	"Michigan"	"26"	19033	15614868	121.89024
	"Minnesota"	"27"	8030	8511572	94.34215
	"Mississippi"	"28"	6511	4576637	142.26604
	"Missouri"	"29"	11602	9406889	123.33514
	"Montana"	"30"	1649	1572222	104.88341
	"Nebraska"	"31"	2822	2813764	100.29270
	"Nevada"	"32"	4209	4388522	95.90928
	"New Hampshire"	"33"	2312	2183501	105.88500
	"New Jersey"	"34"	14050	14321502	98.10424
	"New Mexico"	"35"	2959	3190840	92.73420
	"New York"	"36"	31002	31384419	98.78150
	"North Carolina"	"37"	17745	15257204	116.30571
	"North Dakota"	"38"	912	1033176	88.27150
	"Ohio"	"39"	23074	18259656	126.36602
	"Oklahoma"	"40"	7522	5798755	129.71750
	"Oregon"	"41"	6630	6222853	106.54277
	"Pennsylvania"	"42"	23891	20086176	118.94250
	"Rhode Island"	"44"	1812	1669547	108.53243
	"South Carolina"	"45"	9677	7316890	132.25564
	"South Dakota"	"46"	1210	1241251	97.48230
	"Tennessee"	"47"	13807	10180367	135.62379
	"Texas"	"48"	37587	39400047	95.39836
	"Utah"	"49"	2518	3978673	63.28743
	"Vermont"	"50"	1161	1020586	113.75817
	"Virginia"	"51"	13479	13110241	102.81276
	"Washington"	"53"	10697	11017453	97.09141
	"West Virginia"	"54"	4421	2993043	147.70920
	"Wisconsin"	"55"	9309	9063553	102.70807
	"Wyoming"	"56"	884	904278	97.75755
"Total"			525448	491306635	106.94910
