"Notes"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	8988	6946936	129.38078
	"Alaska"	"02"	879	1038678	84.62680
	"Arizona"	"04"	7717	7959744	96.95035
	"Arkansas"	"05"	5506	4106204	134.08978
	"California"	"06"	47577	53930950	88.21836
	"Colorado"	"08"	5559	7230404	76.88367
	"Connecticut"	"09"	5415	5512049	98.23933
	"Delaware"	"10"	1415	1253136	112.91671
	"District of Columbia"	"11"	1260	952514	132.28152
	"Florida"	"12"	30292	25205153	120.18177
	"Georgia"	"13"	14675	13458219	109.04117
	"Hawaii"	"15"	1805	1943665	92.86580
	"Idaho"	"16"	1756	1959781	89.60185
	"Illinois"	"17"	21489	19530955	110.02534
	"Indiana"	"18"	11320	9487582	119.31386
	"Iowa"	"19"	4551	4392262	103.61404
	"Kansas"	"20"	4178	4057771	102.96293
	"Kentucky"	"21"	9009	6467858	139.28877
	"Louisiana"	"22"	9179	6813447	134.71889
	"Maine"	"23"	2484	2080295	119.40614
	"Maryland"	"24"	9608	8784792	109.37083
	"Massachusetts"	"25"	10653	10306798	103.35897
	"Michigan"	"26"	17567	15640271	112.31903
	"Minnesota"	"27"	7121	7804900	91.23756
	"Mississippi"	"28"	5900	4271622	138.12084
	"Missouri"	"29"	10641	8707220	122.20893
	"Montana"	"30"	1454	1404590	103.51775
	"Nebraska"	"31"	2453	2580819	95.04735
	"Nevada"	"32"	3634	3413317	106.46535
	"New Hampshire"	"33"	2108	2056109	102.52375
	"New Jersey"	"34"	14658	13743574	106.65348
	"New Mexico"	"35"	2497	2787176	89.58889
	"New York"	"36"	31772	30413477	104.46685
	"North Carolina"	"37"	15247	13164065	115.82289
	"North Dakota"	"38"	912	938251	97.20213
	"Ohio"	"39"	20946	17760077	117.93868
	"Oklahoma"	"40"	6674	5269081	126.66345
	"Oregon"	"41"	5756	5518040	104.31240
	"Pennsylvania"	"42"	22537	19102242	117.98092
	"Rhode Island"	"44"	1791	1642622	109.03300
	"South Carolina"	"45"	8099	6409817	126.35306
	"South Dakota"	"46"	1075	1107868	97.03322
	"Tennessee"	"47"	11869	9201979	128.98312
	"Texas"	"48"	32463	32799413	98.97433
	"Utah"	"49"	2096	3100468	67.60270
	"Vermont"	"50"	1037	988135	104.94517
	"Virginia"	"51"	12724	11778089	108.03111
	"Washington"	"53"	9185	9625329	95.42531
	"West Virginia"	"54"	4013	2871204	139.76715
	"Wisconsin"	"55"	8540	8397742	101.69400
	"Wyoming"	"56"	724	776855	93.19629
"Total"			480808	446693545	107.63710
