"Notes"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	10125	7546691	134.16476
	"Alaska"	"02"	1150	1199778	95.85107
	"Arizona"	"04"	9357	10000302	93.56717
	"Arkansas"	"05"	6174	4522327	136.52264
	"California"	"06"	51334	61198048	83.88176
	"Colorado"	"08"	6705	8610147	77.87323
	"Connecticut"	"09"	5292	5763233	91.82346
	"Delaware"	"10"	1756	1448225	121.25188
	"District of Columbia"	"11"	1167	1137304	102.61109
	"Florida"	"12"	34848	30375507	114.72401
	"Georgia"	"13"	17147	15893933	107.88393
	"Hawaii"	"15"	2097	2226671	94.17646
	"Idaho"	"16"	2223	2419155	91.89159
	"Illinois"	"17"	21514	20569135	104.59361
	"Indiana"	"18"	12420	10201759	121.74371
	"Iowa"	"19"	5214	4704213	110.83682
	"Kansas"	"20"	4629	4398678	105.23616
	"Kentucky"	"21"	10033	6959856	144.15528
	"Louisiana"	"22"	9751	7275510	134.02497
	"Maine"	"23"	2626	2154352	121.89280
	"Maryland"	"24"	10019	9676624	103.53818
	"Massachusetts"	"25"	10318	10859412	95.01435
	"Michigan"	"26"	18749	15485401	121.07533
	"Minnesota"	"27"	7790	8632672	90.23857
	"Mississippi"	"28"	6888	4571404	150.67581
	"Missouri"	"29"	11864	9429904	125.81252
	"Montana"	"30"	1630	1578906	103.23604
	"Nebraska"	"31"	2772	2852846	97.16613
	"Nevada"	"32"	4137	4491297	92.11148
	"New Hampshire"	"33"	2277	2168608	104.99823
	"New Jersey"	"34"	13394	14419698	92.88683
	"New Mexico"	"35"	3043	3185922	95.51395
	"New York"	"36"	30435	31791858	95.73206
	"North Carolina"	"37"	17604	15520650	113.42308
	"North Dakota"	"38"	976	1094154	89.20134
	"Ohio"	"39"	23027	18183614	126.63599
	"Oklahoma"	"40"	7445	5883708	126.53585
	"Oregon"	"41"	6646	6303194	105.43861
	"Pennsylvania"	"42"	23286	20165169	115.47634
	"Rhode Island"	"44"	1801	1670528	107.81023
	"South Carolina"	"45"	9523	7446873	127.87918
	"South Dakota"	"46"	1293	1276015	101.33110
	"Tennessee"	"47"	13812	10279057	134.37030
	"Texas"	"48"	38906	41272103	94.26706
	"Utah"	"49"	2669	4167384	64.04497
	"Vermont"	"50"	1168	1003029	116.44728
	"Virginia"	"51"	13486	13385621	100.74990
	"Washington"	"53"	10540	11291322	93.34602
	"West Virginia"	"54"	4473	2940011	152.14229
	"Wisconsin"	"55"	9341	9074442	102.93746
	"Wyoming"	"56"	833	921740	90.37256
"Total"			525707	499627990	105.21969
